training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 80
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.29231e+00 1.19601e+00
1 1.13955e+00 1.10758e+00
2 1.11217e+00 1.07281e+00
3 1.07329e+00 1.06122e+00
4 1.09091e+00 1.05694e+00
5 1.06071e+00 1.04945e+00
6 1.04590e+00 1.04105e+00
7 1.03466e+00 1.04137e+00
8 1.06255e+00 1.04291e+00
9 1.04609e+00 1.04040e+00
10 1.02907e+00 1.03589e+00
11 1.05889e+00 1.03892e+00
12 1.02127e+00 1.04370e+00
13 1.01729e+00 1.03723e+00
14 1.00642e+00 1.03438e+00
15 1.03511e+00 1.03387e+00
16 1.00449e+00 1.03206e+00
17 1.01895e+00 1.03128e+00
18 1.00602e+00 1.02902e+00
19 9.66802e-01 1.03044e+00
20 9.99889e-01 1.03688e+00
21 1.00172e+00 1.03903e+00
22 1.01120e+00 1.03111e+00
23 1.02528e+00 1.03359e+00
24 1.01558e+00 1.03159e+00
25 1.02462e+00 1.03224e+00
26 9.80343e-01 1.02885e+00
27 9.88633e-01 1.02811e+00
28 9.79691e-01 1.02669e+00
29 9.84031e-01 1.02152e+00
30 9.65300e-01 1.02339e+00
31 9.91168e-01 1.01889e+00
32 9.60886e-01 1.02030e+00
33 1.00339e+00 1.01851e+00
34 9.93632e-01 1.02210e+00
35 9.97680e-01 1.02124e+00
36 1.00113e+00 1.01935e+00
37 9.72319e-01 1.02177e+00
38 9.73864e-01 1.02146e+00
39 9.80470e-01 1.02483e+00
40 9.79443e-01 1.02246e+00
41 9.78730e-01 1.02017e+00
42 9.75409e-01 1.02468e+00
43 9.59068e-01 1.01892e+00
44 9.96242e-01 1.01766e+00
45 9.64462e-01 1.01813e+00
46 9.71833e-01 1.01921e+00
47 9.75504e-01 1.01964e+00
48 9.82186e-01 1.02012e+00
49 9.59079e-01 1.01622e+00
50 9.84587e-01 1.01376e+00
51 9.80710e-01 1.01750e+00
52 9.62243e-01 1.01643e+00
53 9.72288e-01 1.01805e+00
54 9.62107e-01 1.01652e+00
55 9.66790e-01 1.01198e+00
56 9.61662e-01 1.01114e+00
57 9.56996e-01 1.01752e+00
58 9.62753e-01 1.01591e+00
59 9.72111e-01 1.01551e+00
60 9.53759e-01 1.01987e+00
61 9.56802e-01 1.02100e+00
62 9.82622e-01 1.02052e+00
63 9.63478e-01 1.01883e+00
64 9.50992e-01 1.01724e+00
65 9.48367e-01 1.01627e+00
66 9.47847e-01 1.01491e+00
67 9.80813e-01 1.01234e+00
68 9.59512e-01 1.01592e+00
69 9.73599e-01 1.00946e+00
70 9.47635e-01 1.00740e+00
71 9.67030e-01 1.00408e+00
72 9.45222e-01 1.00694e+00
73 9.48365e-01 1.01278e+00
74 9.51809e-01 1.01248e+00
75 9.79122e-01 1.00715e+00
76 9.41217e-01 1.01159e+00
77 9.41778e-01 1.01127e+00
78 9.46315e-01 1.01406e+00
79 9.38220e-01 1.01578e+00
80 9.54123e-01 1.02323e+00
