training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 80
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.26915e+00 1.17244e+00
1 1.10052e+00 1.09447e+00
2 1.08183e+00 1.07512e+00
3 1.05502e+00 1.05030e+00
4 1.03917e+00 1.03607e+00
5 1.02775e+00 1.02590e+00
6 1.02677e+00 1.02574e+00
7 1.02435e+00 1.03150e+00
8 1.03486e+00 1.03454e+00
9 1.01291e+00 1.03117e+00
10 9.95020e-01 1.05427e+00
11 9.87376e-01 1.03398e+00
12 1.01828e+00 1.02962e+00
13 1.00552e+00 1.02636e+00
14 1.00273e+00 1.02380e+00
15 9.82914e-01 1.02050e+00
16 9.94140e-01 1.04376e+00
17 9.64632e-01 1.03266e+00
18 1.00693e+00 1.02486e+00
19 9.90697e-01 1.03620e+00
20 9.87017e-01 1.02163e+00
21 9.70355e-01 1.02394e+00
22 9.74606e-01 1.01889e+00
23 9.67429e-01 1.03145e+00
24 9.62529e-01 1.03057e+00
25 9.84815e-01 1.02568e+00
26 9.72772e-01 1.02790e+00
27 9.77312e-01 1.02504e+00
28 9.93421e-01 1.03005e+00
29 9.74927e-01 1.02669e+00
30 9.63431e-01 1.02731e+00
31 9.56566e-01 1.02127e+00
32 9.76661e-01 1.01996e+00
33 9.71553e-01 1.03439e+00
34 9.95417e-01 1.02103e+00
35 9.70119e-01 1.01707e+00
36 9.61074e-01 1.02192e+00
37 9.87439e-01 1.02197e+00
38 9.62565e-01 1.01497e+00
39 9.40823e-01 1.01932e+00
40 9.86542e-01 1.02250e+00
41 9.56692e-01 1.01369e+00
42 9.64398e-01 1.01271e+00
43 9.60330e-01 1.02425e+00
44 9.67677e-01 1.01226e+00
45 9.81523e-01 1.00778e+00
46 9.28257e-01 1.01956e+00
47 9.63251e-01 1.01617e+00
48 9.75595e-01 1.01342e+00
49 9.43000e-01 1.01503e+00
50 9.36692e-01 1.01525e+00
51 9.41263e-01 1.01305e+00
52 9.57265e-01 1.01072e+00
53 9.40208e-01 1.01265e+00
54 9.35514e-01 1.01115e+00
55 9.51137e-01 1.01352e+00
56 9.51760e-01 1.01230e+00
57 9.55313e-01 1.00963e+00
58 9.46022e-01 1.01089e+00
59 9.29022e-01 1.00809e+00
60 9.60010e-01 1.00465e+00
61 9.44057e-01 1.00952e+00
62 9.44490e-01 1.01189e+00
63 9.30966e-01 1.01668e+00
64 9.35097e-01 1.00802e+00
65 9.35739e-01 9.97989e-01
66 9.48948e-01 9.97803e-01
67 9.25560e-01 1.00592e+00
68 9.39317e-01 9.98325e-01
69 9.25107e-01 1.01162e+00
70 9.54314e-01 1.01171e+00
71 9.26267e-01 1.01049e+00
72 9.31554e-01 1.01220e+00
73 9.53808e-01 1.01499e+00
74 9.36746e-01 1.01119e+00
75 9.34647e-01 1.01148e+00
76 9.30914e-01 1.01655e+00
77 9.39777e-01 1.01169e+00
78 9.54803e-01 9.92725e-01
79 9.19385e-01 1.00754e+00
80 9.17655e-01 1.00471e+00
