training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 80
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.28869e+00 1.10387e+00
1 1.09261e+00 1.07899e+00
2 1.07323e+00 1.04309e+00
3 1.03353e+00 1.04036e+00
4 1.00570e+00 1.02724e+00
5 1.01090e+00 1.06284e+00
6 1.00257e+00 1.04900e+00
7 1.00980e+00 1.06881e+00
8 9.80037e-01 1.03470e+00
9 9.95248e-01 1.02790e+00
10 9.79756e-01 1.02398e+00
11 9.65180e-01 1.03476e+00
12 9.72977e-01 1.02602e+00
13 9.75511e-01 1.02664e+00
14 9.74799e-01 1.02710e+00
15 9.76499e-01 1.02831e+00
16 9.51786e-01 1.02223e+00
17 9.38382e-01 1.01839e+00
18 9.74258e-01 1.02575e+00
19 9.52590e-01 1.01144e+00
20 9.37825e-01 1.00835e+00
21 9.57755e-01 1.00948e+00
22 9.33162e-01 1.00905e+00
23 9.71361e-01 1.00028e+00
24 9.33370e-01 1.02748e+00
25 9.34886e-01 9.95593e-01
26 9.69450e-01 9.93340e-01
27 9.52798e-01 9.95837e-01
28 9.36673e-01 1.00297e+00
29 9.57920e-01 1.01304e+00
30 9.23379e-01 1.05627e+00
31 9.37728e-01 9.99759e-01
32 9.30101e-01 9.94303e-01
33 9.44357e-01 9.96642e-01
34 9.35883e-01 9.98678e-01
35 9.18820e-01 1.02186e+00
36 9.21503e-01 1.00609e+00
37 9.24929e-01 1.00422e+00
38 9.05711e-01 1.02787e+00
39 9.26607e-01 1.00455e+00
40 9.30433e-01 9.92288e-01
41 9.23302e-01 9.95137e-01
42 9.18720e-01 9.95213e-01
43 9.12331e-01 1.01339e+00
44 9.07552e-01 9.81307e-01
45 9.08814e-01 9.76570e-01
46 9.36446e-01 1.00390e+00
47 9.12199e-01 9.80286e-01
48 8.99626e-01 1.02145e+00
49 8.92218e-01 9.91109e-01
50 9.17328e-01 9.95114e-01
51 9.02044e-01 9.86311e-01
52 9.00405e-01 1.01369e+00
53 9.18667e-01 9.76487e-01
54 8.92709e-01 9.87659e-01
55 8.90421e-01 9.93164e-01
56 8.95416e-01 1.04722e+00
57 9.02079e-01 9.92111e-01
58 8.93780e-01 1.01215e+00
59 9.03816e-01 9.95268e-01
60 9.13590e-01 9.94890e-01
61 9.05110e-01 1.00755e+00
62 9.10207e-01 9.71862e-01
63 9.05073e-01 1.00177e+00
64 8.76596e-01 9.86161e-01
65 8.77448e-01 1.01000e+00
66 8.76868e-01 1.02555e+00
67 8.95235e-01 9.79548e-01
68 8.74433e-01 9.78645e-01
69 8.62457e-01 9.78457e-01
70 8.61707e-01 9.97568e-01
71 8.86743e-01 9.85021e-01
72 8.92920e-01 9.76511e-01
73 9.00133e-01 9.55769e-01
74 8.89527e-01 9.81410e-01
75 8.83030e-01 9.84981e-01
76 8.61234e-01 1.00489e+00
77 8.70262e-01 1.03214e+00
78 8.89325e-01 1.01769e+00
79 8.64234e-01 9.83106e-01
80 9.02647e-01 1.00546e+00
81 8.72741e-01 9.90843e-01
82 8.97433e-01 1.00504e+00
83 8.63701e-01 9.84372e-01
84 8.78409e-01 9.67999e-01
85 8.61103e-01 1.00572e+00
86 8.74109e-01 9.74506e-01
87 8.67152e-01 1.01830e+00
88 8.88024e-01 9.97229e-01
89 8.44266e-01 9.84582e-01
90 8.61455e-01 9.87764e-01
91 8.53640e-01 1.01497e+00
92 8.62643e-01 1.03518e+00
93 8.60614e-01 1.00038e+00
94 8.75790e-01 1.03143e+00
95 8.49160e-01 9.87826e-01
96 8.70165e-01 1.01849e+00
97 8.70562e-01 9.92827e-01
98 8.47580e-01 9.92105e-01
99 8.28917e-01 1.03311e+00
100 8.46071e-01 1.00420e+00
101 8.52391e-01 9.79957e-01
102 8.47156e-01 1.02563e+00
103 8.22230e-01 1.01778e+00
104 8.18049e-01 9.97649e-01
105 8.22687e-01 1.02785e+00
106 8.56880e-01 9.86153e-01
107 8.66841e-01 9.92697e-01
108 8.41174e-01 9.85232e-01
109 8.36787e-01 9.90713e-01
110 8.27835e-01 9.75820e-01
