training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 80
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.66542e+00 1.54821e+00
1 1.64631e+00 1.54092e+00
2 1.63367e+00 1.53501e+00
3 1.64466e+00 1.52924e+00
4 1.62809e+00 1.52438e+00
5 1.62018e+00 1.51967e+00
6 1.60348e+00 1.51521e+00
7 1.60127e+00 1.51207e+00
8 1.59521e+00 1.50906e+00
9 1.57980e+00 1.50573e+00
10 1.55934e+00 1.50270e+00
11 1.57021e+00 1.49996e+00
12 1.56558e+00 1.49740e+00
13 1.57046e+00 1.49474e+00
14 1.55797e+00 1.49253e+00
15 1.54993e+00 1.49033e+00
16 1.55046e+00 1.48808e+00
17 1.54696e+00 1.48549e+00
18 1.53903e+00 1.48324e+00
19 1.53273e+00 1.48110e+00
20 1.54125e+00 1.47897e+00
21 1.51330e+00 1.47620e+00
22 1.52809e+00 1.47390e+00
23 1.52501e+00 1.47164e+00
24 1.52039e+00 1.46977e+00
25 1.51636e+00 1.46774e+00
26 1.51585e+00 1.46554e+00
27 1.52160e+00 1.46379e+00
28 1.51731e+00 1.46177e+00
29 1.50622e+00 1.45934e+00
30 1.49838e+00 1.45713e+00
31 1.50526e+00 1.45503e+00
32 1.50505e+00 1.45308e+00
33 1.49676e+00 1.45086e+00
34 1.49212e+00 1.44855e+00
35 1.48790e+00 1.44598e+00
36 1.48123e+00 1.44359e+00
37 1.48306e+00 1.44152e+00
38 1.48730e+00 1.43934e+00
39 1.47954e+00 1.43717e+00
40 1.48665e+00 1.43539e+00
41 1.48860e+00 1.43363e+00
42 1.46542e+00 1.43117e+00
43 1.48261e+00 1.42883e+00
44 1.45978e+00 1.42594e+00
45 1.46508e+00 1.42389e+00
46 1.46750e+00 1.42180e+00
47 1.45150e+00 1.41922e+00
48 1.46412e+00 1.41710e+00
49 1.47040e+00 1.41537e+00
50 1.45556e+00 1.41288e+00
51 1.45335e+00 1.41044e+00
52 1.44362e+00 1.40812e+00
53 1.44102e+00 1.40544e+00
54 1.43030e+00 1.40285e+00
55 1.45552e+00 1.40085e+00
56 1.44477e+00 1.39866e+00
57 1.45415e+00 1.39654e+00
58 1.43584e+00 1.39456e+00
59 1.44309e+00 1.39197e+00
60 1.42801e+00 1.38921e+00
61 1.44147e+00 1.38697e+00
62 1.43594e+00 1.38445e+00
63 1.41358e+00 1.38172e+00
64 1.43241e+00 1.37999e+00
65 1.41281e+00 1.37737e+00
66 1.43368e+00 1.37489e+00
67 1.41086e+00 1.37217e+00
68 1.42038e+00 1.36991e+00
69 1.40534e+00 1.36721e+00
70 1.40822e+00 1.36477e+00
71 1.39494e+00 1.36190e+00
72 1.38486e+00 1.35886e+00
73 1.40684e+00 1.35660e+00
74 1.38975e+00 1.35379e+00
75 1.40375e+00 1.35173e+00
76 1.39188e+00 1.34981e+00
77 1.40294e+00 1.34719e+00
78 1.40036e+00 1.34519e+00
79 1.37880e+00 1.34241e+00
80 1.38131e+00 1.33973e+00
