training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 80
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.42355e+00 1.41272e+00
1 1.42691e+00 1.41245e+00
2 1.42524e+00 1.41216e+00
3 1.43349e+00 1.41188e+00
4 1.42826e+00 1.41159e+00
5 1.42808e+00 1.41131e+00
6 1.42306e+00 1.41104e+00
7 1.42432e+00 1.41073e+00
8 1.41997e+00 1.41043e+00
9 1.41804e+00 1.41014e+00
10 1.43274e+00 1.40985e+00
11 1.42219e+00 1.40957e+00
12 1.43305e+00 1.40928e+00
13 1.42874e+00 1.40901e+00
14 1.42367e+00 1.40874e+00
15 1.42641e+00 1.40846e+00
16 1.42792e+00 1.40820e+00
17 1.42067e+00 1.40792e+00
18 1.42405e+00 1.40763e+00
19 1.42817e+00 1.40735e+00
20 1.42156e+00 1.40708e+00
21 1.41667e+00 1.40679e+00
22 1.41513e+00 1.40651e+00
23 1.41726e+00 1.40625e+00
24 1.42057e+00 1.40598e+00
25 1.41838e+00 1.40570e+00
26 1.41693e+00 1.40541e+00
27 1.42427e+00 1.40512e+00
28 1.42772e+00 1.40483e+00
29 1.41314e+00 1.40455e+00
30 1.41087e+00 1.40428e+00
31 1.41770e+00 1.40401e+00
32 1.41639e+00 1.40374e+00
33 1.41412e+00 1.40345e+00
34 1.41419e+00 1.40316e+00
35 1.41453e+00 1.40289e+00
36 1.41307e+00 1.40261e+00
37 1.41326e+00 1.40232e+00
38 1.41389e+00 1.40205e+00
39 1.41671e+00 1.40179e+00
40 1.41536e+00 1.40151e+00
41 1.41710e+00 1.40124e+00
42 1.40901e+00 1.40096e+00
43 1.41382e+00 1.40068e+00
44 1.41926e+00 1.40039e+00
45 1.42613e+00 1.40008e+00
46 1.41584e+00 1.39979e+00
47 1.41474e+00 1.39952e+00
48 1.42339e+00 1.39926e+00
49 1.41645e+00 1.39899e+00
50 1.40626e+00 1.39871e+00
51 1.41350e+00 1.39842e+00
52 1.41331e+00 1.39815e+00
53 1.41539e+00 1.39788e+00
54 1.39826e+00 1.39760e+00
55 1.41476e+00 1.39731e+00
56 1.42386e+00 1.39705e+00
57 1.41526e+00 1.39678e+00
58 1.41593e+00 1.39653e+00
59 1.40648e+00 1.39626e+00
60 1.40451e+00 1.39597e+00
61 1.40759e+00 1.39567e+00
62 1.40703e+00 1.39538e+00
63 1.41257e+00 1.39511e+00
64 1.40109e+00 1.39484e+00
65 1.40797e+00 1.39455e+00
66 1.41521e+00 1.39428e+00
67 1.40957e+00 1.39401e+00
68 1.41033e+00 1.39375e+00
69 1.40933e+00 1.39347e+00
70 1.40390e+00 1.39321e+00
71 1.41014e+00 1.39293e+00
72 1.41051e+00 1.39265e+00
73 1.40716e+00 1.39240e+00
74 1.40772e+00 1.39213e+00
75 1.41184e+00 1.39186e+00
76 1.40396e+00 1.39158e+00
77 1.40262e+00 1.39130e+00
78 1.40549e+00 1.39103e+00
79 1.40826e+00 1.39078e+00
80 1.40916e+00 1.39052e+00
