training dataset: fesc_test
seed = 5
umFeatures = 7
Feature List: SFRs, Mstars, masses, redshifts, fgases, min_dist, t_lookback
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.77149e+00 1.24871e+00
1 1.48223e+00 1.14937e+00
2 1.37400e+00 1.10100e+00
3 1.32254e+00 1.08315e+00
4 1.25453e+00 1.07593e+00
5 1.23041e+00 1.06727e+00
6 1.22187e+00 1.07738e+00
7 1.18430e+00 1.06669e+00
8 1.14212e+00 1.05925e+00
9 1.14598e+00 1.04720e+00
10 1.13256e+00 1.04662e+00
11 1.13526e+00 1.04420e+00
12 1.12239e+00 1.04490e+00
13 1.10652e+00 1.04063e+00
14 1.11259e+00 1.04116e+00
15 1.10090e+00 1.03876e+00
16 1.09909e+00 1.03520e+00
17 1.08432e+00 1.02756e+00
18 1.08682e+00 1.03257e+00
19 1.08416e+00 1.02606e+00
20 1.08786e+00 1.02591e+00
21 1.06713e+00 1.02726e+00
22 1.07373e+00 1.02336e+00
23 1.08144e+00 1.03120e+00
24 1.06754e+00 1.02793e+00
25 1.07248e+00 1.02193e+00
26 1.06357e+00 1.01982e+00
27 1.06049e+00 1.01559e+00
28 1.06488e+00 1.01498e+00
29 1.04909e+00 1.01670e+00
30 1.04934e+00 1.01377e+00
31 1.04193e+00 1.01189e+00
32 1.05614e+00 1.01673e+00
33 1.04716e+00 1.01267e+00
34 1.04913e+00 1.01326e+00
35 1.06001e+00 1.01095e+00
36 1.04748e+00 1.01340e+00
37 1.04531e+00 1.00980e+00
38 1.04719e+00 1.00858e+00
39 1.03952e+00 1.00681e+00
40 1.02902e+00 1.00274e+00
41 1.04142e+00 1.00274e+00
42 1.04054e+00 9.98337e-01
43 1.03885e+00 9.96934e-01
44 1.02814e+00 9.95093e-01
45 1.02803e+00 1.00021e+00
46 1.02967e+00 9.94845e-01
47 1.02280e+00 9.95295e-01
48 1.03219e+00 9.93669e-01
49 1.01272e+00 9.91261e-01
50 1.02343e+00 9.93410e-01
51 1.02634e+00 9.94133e-01
52 1.02000e+00 9.89223e-01
53 1.01918e+00 9.87911e-01
54 1.01316e+00 9.90610e-01
55 1.01515e+00 9.85803e-01
56 1.01582e+00 9.82641e-01
57 1.01477e+00 9.85259e-01
58 1.01249e+00 9.87108e-01
59 1.02330e+00 9.79758e-01
60 1.02696e+00 9.81820e-01
61 1.01712e+00 9.80479e-01
62 1.01250e+00 9.81230e-01
63 1.00641e+00 9.82657e-01
64 1.00917e+00 9.90226e-01
65 1.01331e+00 9.80968e-01
66 1.00313e+00 9.84008e-01
67 1.00606e+00 9.77554e-01
68 1.00429e+00 9.83030e-01
69 1.00349e+00 9.71392e-01
70 1.00583e+00 9.72728e-01
71 1.00263e+00 9.71396e-01
72 1.01785e+00 9.70237e-01
73 9.97015e-01 9.70115e-01
74 9.98389e-01 9.70547e-01
75 1.00694e+00 9.67578e-01
76 1.01107e+00 9.71230e-01
77 1.00352e+00 9.67169e-01
78 1.00050e+00 9.68369e-01
79 1.00382e+00 9.68682e-01
80 1.00202e+00 9.70093e-01
81 9.95972e-01 9.66729e-01
82 9.92033e-01 9.62934e-01
83 9.98735e-01 9.62912e-01
84 9.89171e-01 9.66032e-01
85 1.00027e+00 9.60851e-01
86 9.90217e-01 9.61768e-01
87 9.88932e-01 9.61791e-01
88 9.87105e-01 9.57754e-01
89 9.93098e-01 9.58562e-01
90 9.89816e-01 9.59196e-01
91 9.83386e-01 9.58355e-01
92 9.88227e-01 9.53964e-01
93 9.87613e-01 9.54693e-01
94 9.89649e-01 9.54086e-01
95 9.90072e-01 9.58118e-01
96 9.86864e-01 9.56846e-01
97 9.86880e-01 9.53358e-01
98 9.88849e-01 9.54655e-01
99 9.77389e-01 9.56873e-01
100 9.79389e-01 9.52857e-01
101 9.81579e-01 9.52014e-01
102 9.85951e-01 9.53804e-01
103 9.74828e-01 9.52965e-01
104 9.85503e-01 9.54317e-01
105 9.79654e-01 9.54561e-01
106 9.86696e-01 9.57689e-01
107 9.84596e-01 9.54283e-01
108 9.84482e-01 9.56009e-01
109 9.92545e-01 9.54269e-01
110 9.75871e-01 9.50160e-01
111 9.76876e-01 9.48537e-01
112 9.65026e-01 9.49502e-01
113 9.80390e-01 9.47812e-01
114 9.77239e-01 9.49328e-01
115 9.78036e-01 9.48960e-01
116 9.74897e-01 9.46298e-01
117 9.77444e-01 9.48368e-01
118 9.70098e-01 9.49700e-01
119 9.71189e-01 9.48211e-01
120 9.69442e-01 9.49383e-01
121 9.75496e-01 9.48955e-01
122 9.73254e-01 9.48631e-01
123 9.79820e-01 9.47001e-01
124 9.64905e-01 9.49100e-01
125 9.74525e-01 9.46887e-01
126 9.70909e-01 9.47240e-01
127 9.73102e-01 9.44192e-01
128 9.71502e-01 9.45593e-01
129 9.64210e-01 9.49126e-01
130 9.71529e-01 9.43143e-01
131 9.75110e-01 9.43757e-01
132 9.67230e-01 9.43199e-01
133 9.58223e-01 9.42037e-01
134 9.77822e-01 9.42964e-01
135 9.55002e-01 9.44754e-01
136 9.60491e-01 9.42641e-01
137 9.76553e-01 9.44543e-01
138 9.68673e-01 9.41666e-01
139 9.60588e-01 9.41753e-01
140 9.62530e-01 9.40081e-01
141 9.69140e-01 9.41127e-01
142 9.57907e-01 9.37814e-01
143 9.66374e-01 9.40899e-01
144 9.54242e-01 9.37742e-01
