training dataset: fesc_test
seed = 5
umFeatures = 7
Feature List: SFRs, Mstars, masses, redshifts, fgases, min_dist, t_lookback
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.31428e+00 1.21013e+00
1 1.21456e+00 1.10463e+00
2 1.13250e+00 1.06129e+00
3 1.11812e+00 1.04968e+00
4 1.08853e+00 1.01939e+00
5 1.07721e+00 1.08825e+00
6 1.08948e+00 9.91530e-01
7 1.06861e+00 9.94588e-01
8 1.05152e+00 9.96377e-01
9 1.04576e+00 9.81705e-01
10 1.03624e+00 9.79286e-01
11 1.03119e+00 9.76867e-01
12 1.02389e+00 9.63436e-01
13 1.01913e+00 9.76519e-01
14 1.01561e+00 9.61803e-01
15 1.01204e+00 9.65138e-01
16 1.00484e+00 9.55424e-01
17 1.01012e+00 9.71750e-01
18 1.00738e+00 9.79883e-01
19 1.00717e+00 9.75053e-01
20 1.00386e+00 9.48377e-01
21 9.91087e-01 9.50709e-01
22 9.98475e-01 9.49707e-01
23 1.00092e+00 9.63771e-01
24 9.92938e-01 9.48708e-01
25 9.89947e-01 9.44793e-01
26 9.89847e-01 9.41524e-01
27 9.87452e-01 9.53223e-01
28 9.83909e-01 9.37531e-01
29 9.73039e-01 9.43496e-01
30 9.72844e-01 9.41546e-01
31 9.87239e-01 9.49372e-01
32 9.86454e-01 9.39547e-01
33 9.86701e-01 9.38923e-01
34 9.76170e-01 9.29429e-01
35 9.71864e-01 9.28689e-01
36 9.78173e-01 9.38057e-01
37 9.80132e-01 9.33924e-01
38 9.58016e-01 9.34446e-01
39 9.56434e-01 9.20124e-01
40 9.75315e-01 9.21353e-01
41 9.68311e-01 9.20214e-01
42 9.78295e-01 9.41728e-01
43 9.74249e-01 9.25535e-01
44 9.61264e-01 9.35082e-01
45 9.56432e-01 9.18757e-01
46 9.62865e-01 9.23331e-01
47 9.66614e-01 9.26529e-01
48 9.61237e-01 9.13586e-01
49 9.55574e-01 9.49905e-01
50 9.65827e-01 9.11600e-01
51 9.49908e-01 9.11083e-01
52 9.52698e-01 9.21930e-01
53 9.52276e-01 9.06493e-01
54 9.68369e-01 9.31202e-01
55 9.59302e-01 9.18365e-01
56 9.56092e-01 9.26794e-01
57 9.58202e-01 9.23722e-01
58 9.33776e-01 8.98900e-01
59 9.59812e-01 9.08731e-01
60 9.40001e-01 9.25853e-01
61 9.46481e-01 9.08493e-01
62 9.49458e-01 9.16250e-01
63 9.43797e-01 9.03059e-01
64 9.45721e-01 9.03909e-01
65 9.41352e-01 9.31840e-01
66 9.61610e-01 9.07752e-01
67 9.37806e-01 9.09427e-01
68 9.37857e-01 9.06229e-01
69 9.38663e-01 8.92055e-01
70 9.46084e-01 9.22085e-01
71 9.44277e-01 8.99732e-01
72 9.44026e-01 8.94657e-01
73 9.34376e-01 9.00402e-01
74 9.44071e-01 9.07857e-01
75 9.33168e-01 8.91371e-01
76 9.38152e-01 9.23468e-01
77 9.21451e-01 8.99334e-01
78 9.21135e-01 9.30657e-01
79 9.36984e-01 8.95971e-01
80 9.21777e-01 8.93486e-01
81 9.32467e-01 8.91209e-01
82 9.24445e-01 8.88315e-01
83 9.35322e-01 8.91724e-01
84 9.22660e-01 8.88164e-01
85 9.24436e-01 8.91009e-01
86 9.28791e-01 8.87621e-01
87 9.26641e-01 8.91280e-01
88 9.19289e-01 8.82923e-01
89 9.25043e-01 8.82628e-01
90 9.09198e-01 8.93386e-01
91 9.29049e-01 8.85970e-01
92 9.27408e-01 8.95938e-01
93 9.26711e-01 8.81891e-01
94 9.22917e-01 8.88920e-01
95 9.17087e-01 8.81284e-01
96 9.25151e-01 8.94072e-01
97 9.21616e-01 8.87582e-01
98 9.15100e-01 8.84565e-01
99 9.19132e-01 8.82013e-01
100 9.12757e-01 8.90694e-01
101 9.21502e-01 8.83132e-01
102 9.10785e-01 8.88190e-01
103 9.09014e-01 8.85496e-01
104 9.25538e-01 8.89148e-01
105 9.14582e-01 8.84883e-01
106 9.16520e-01 8.83643e-01
107 9.10976e-01 8.82840e-01
108 9.11921e-01 8.81219e-01
109 9.13987e-01 8.81016e-01
110 9.14494e-01 8.85748e-01
111 9.12308e-01 8.78385e-01
112 9.14899e-01 8.86773e-01
113 9.12689e-01 8.81129e-01
114 9.07523e-01 8.77865e-01
115 9.21749e-01 8.83014e-01
116 9.17884e-01 8.84381e-01
117 9.14289e-01 8.88522e-01
118 9.18625e-01 8.84859e-01
119 9.19489e-01 8.74359e-01
120 9.12665e-01 8.75748e-01
121 8.95878e-01 8.80772e-01
122 9.06096e-01 8.83809e-01
123 8.98345e-01 8.76331e-01
124 9.12058e-01 8.71934e-01
125 9.03864e-01 8.76111e-01
126 9.21143e-01 8.93190e-01
127 9.03538e-01 8.80460e-01
128 9.05114e-01 8.84450e-01
129 9.11632e-01 8.86739e-01
130 9.14246e-01 8.78398e-01
131 9.10320e-01 8.80717e-01
132 8.97415e-01 8.88451e-01
133 9.05565e-01 8.86218e-01
134 8.95829e-01 8.85228e-01
135 8.99283e-01 8.70232e-01
136 8.99194e-01 8.79798e-01
137 9.10137e-01 8.78321e-01
138 8.99455e-01 8.87303e-01
139 8.98228e-01 8.80892e-01
140 8.88369e-01 8.74791e-01
141 9.08354e-01 8.75661e-01
142 8.98450e-01 8.72561e-01
143 8.97901e-01 8.81290e-01
144 8.94119e-01 8.74882e-01
