training dataset: fesc_test
seed = 5
umFeatures = 7
Feature List: SFRs, Mstars, masses, redshifts, fgases, min_dist, t_lookback
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.33939e+00 1.29323e+00
1 1.30128e+00 1.27366e+00
2 1.26957e+00 1.20707e+00
3 1.21445e+00 1.10212e+00
4 1.15230e+00 1.05873e+00
5 1.13816e+00 1.06194e+00
6 1.11272e+00 1.03713e+00
7 1.11394e+00 1.03722e+00
8 1.10998e+00 1.03334e+00
9 1.08036e+00 1.02789e+00
10 1.08338e+00 1.01735e+00
11 1.07347e+00 1.00464e+00
12 1.06513e+00 1.01926e+00
13 1.06646e+00 9.98937e-01
14 1.07201e+00 1.00971e+00
15 1.06839e+00 1.00964e+00
16 1.05243e+00 9.99722e-01
17 1.04763e+00 9.96272e-01
18 1.03481e+00 9.85449e-01
19 1.05741e+00 9.99611e-01
20 1.04439e+00 9.71580e-01
21 1.05490e+00 9.79855e-01
22 1.03645e+00 9.76194e-01
23 1.02941e+00 9.76241e-01
24 1.02886e+00 9.69522e-01
25 1.02926e+00 9.68515e-01
26 1.03280e+00 9.70219e-01
27 1.01012e+00 9.67378e-01
28 1.01826e+00 9.72576e-01
29 1.02134e+00 9.66002e-01
30 1.02718e+00 9.66105e-01
31 1.00599e+00 9.67114e-01
32 1.00478e+00 9.62195e-01
33 1.00094e+00 9.55949e-01
34 1.00243e+00 9.83601e-01
35 1.00675e+00 9.62105e-01
36 1.00862e+00 9.62308e-01
37 1.00452e+00 9.63238e-01
38 1.00234e+00 9.73064e-01
39 9.98494e-01 9.54216e-01
40 1.00182e+00 9.54133e-01
41 9.91117e-01 9.63186e-01
42 9.90469e-01 9.49679e-01
43 9.97661e-01 9.47573e-01
44 9.92858e-01 9.58480e-01
45 9.97061e-01 9.56633e-01
46 9.92117e-01 9.48025e-01
47 9.80256e-01 9.54174e-01
48 9.70683e-01 9.47947e-01
49 9.86861e-01 9.49742e-01
50 9.88057e-01 9.50079e-01
51 9.83665e-01 9.44955e-01
52 9.80206e-01 9.48734e-01
53 9.81628e-01 9.38531e-01
54 9.83186e-01 9.41645e-01
55 9.82956e-01 9.40560e-01
56 9.72675e-01 9.42825e-01
57 9.83368e-01 9.41802e-01
58 9.70437e-01 9.39058e-01
59 9.78686e-01 9.34979e-01
60 9.69178e-01 9.43020e-01
61 9.88378e-01 9.33383e-01
62 9.82151e-01 9.35839e-01
63 9.69710e-01 9.43206e-01
64 9.72669e-01 9.29856e-01
65 9.65408e-01 9.35517e-01
66 9.72192e-01 9.31600e-01
67 9.70689e-01 9.42030e-01
68 9.75879e-01 9.34904e-01
69 9.60274e-01 9.30817e-01
70 9.71142e-01 9.34335e-01
71 9.64163e-01 9.44904e-01
72 9.68949e-01 9.31528e-01
73 9.70085e-01 9.24445e-01
74 9.59084e-01 9.23160e-01
75 9.65268e-01 9.23000e-01
76 9.59786e-01 9.32021e-01
77 9.58572e-01 9.31549e-01
78 9.59373e-01 9.28283e-01
79 9.69136e-01 9.23602e-01
80 9.66311e-01 9.32240e-01
81 9.62764e-01 9.41890e-01
82 9.68089e-01 9.27975e-01
83 9.61925e-01 9.26306e-01
84 9.59125e-01 9.26713e-01
85 9.63089e-01 9.29246e-01
86 9.54845e-01 9.19821e-01
87 9.54999e-01 9.25379e-01
88 9.65891e-01 9.25227e-01
89 9.55961e-01 9.23678e-01
90 9.50784e-01 9.24352e-01
91 9.58157e-01 9.19417e-01
92 9.46385e-01 9.19111e-01
93 9.52880e-01 9.24064e-01
94 9.53837e-01 9.17904e-01
95 9.46467e-01 9.32374e-01
96 9.71497e-01 9.27432e-01
97 9.61980e-01 9.26011e-01
98 9.48285e-01 9.16317e-01
99 9.52393e-01 9.11142e-01
100 9.42377e-01 9.11325e-01
101 9.47129e-01 9.16004e-01
102 9.54259e-01 9.20827e-01
103 9.53426e-01 9.13835e-01
104 9.48363e-01 9.11031e-01
105 9.52222e-01 9.23579e-01
106 9.45600e-01 9.20041e-01
107 9.58020e-01 9.18680e-01
108 9.45061e-01 9.19588e-01
109 9.41280e-01 9.14121e-01
110 9.50280e-01 9.17830e-01
111 9.52612e-01 9.21551e-01
112 9.49829e-01 9.27087e-01
113 9.40111e-01 9.09989e-01
114 9.54227e-01 9.19292e-01
115 9.44001e-01 9.18324e-01
116 9.48646e-01 9.07323e-01
117 9.47673e-01 9.09199e-01
118 9.43548e-01 9.26787e-01
119 9.36363e-01 9.17264e-01
120 9.42314e-01 9.10126e-01
121 9.43719e-01 9.15512e-01
122 9.39787e-01 9.06214e-01
123 9.23677e-01 9.02925e-01
124 9.43058e-01 9.05825e-01
125 9.38890e-01 9.09664e-01
126 9.40491e-01 9.10023e-01
127 9.44813e-01 9.06002e-01
128 9.54387e-01 9.05102e-01
129 9.38999e-01 9.08883e-01
130 9.53222e-01 9.06854e-01
131 9.42303e-01 9.00043e-01
132 9.37788e-01 9.06492e-01
133 9.31993e-01 9.00489e-01
134 9.49520e-01 9.03180e-01
135 9.33018e-01 9.05572e-01
136 9.29084e-01 9.01501e-01
137 9.47753e-01 9.06399e-01
138 9.34924e-01 8.98521e-01
139 9.28364e-01 8.99974e-01
140 9.32394e-01 8.96645e-01
141 9.41988e-01 9.05156e-01
142 9.49856e-01 9.09201e-01
143 9.33744e-01 8.95880e-01
144 9.38779e-01 9.00739e-01
