training dataset: fesc_test
seed = 5
umFeatures = 7
Feature List: SFRs, Mstars, masses, redshifts, fgases, min_dist, t_lookback
fluxSize = 4
batch_size = 80
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.42303e+00 1.28650e+00
1 1.35802e+00 1.25520e+00
2 1.28844e+00 1.23482e+00
3 1.24817e+00 1.25411e+00
4 1.24341e+00 1.19220e+00
5 1.22652e+00 1.16673e+00
6 1.22787e+00 1.15653e+00
7 1.17842e+00 1.14828e+00
8 1.21532e+00 1.15207e+00
9 1.15722e+00 1.12487e+00
10 1.16345e+00 1.12467e+00
11 1.14445e+00 1.11407e+00
12 1.14037e+00 1.11183e+00
13 1.16629e+00 1.10732e+00
14 1.15527e+00 1.10272e+00
15 1.14226e+00 1.10052e+00
16 1.13883e+00 1.10020e+00
17 1.12847e+00 1.09720e+00
18 1.13407e+00 1.09401e+00
19 1.09608e+00 1.09474e+00
20 1.10636e+00 1.08465e+00
21 1.13221e+00 1.09249e+00
22 1.11746e+00 1.08597e+00
23 1.12600e+00 1.08969e+00
24 1.10564e+00 1.08569e+00
25 1.08634e+00 1.08078e+00
26 1.08400e+00 1.08160e+00
27 1.09284e+00 1.07057e+00
28 1.09891e+00 1.08413e+00
29 1.09754e+00 1.07892e+00
30 1.08700e+00 1.07581e+00
31 1.09261e+00 1.07635e+00
32 1.13769e+00 1.09146e+00
33 1.08153e+00 1.08626e+00
34 1.07082e+00 1.08009e+00
35 1.10727e+00 1.09134e+00
36 1.07137e+00 1.08320e+00
37 1.06329e+00 1.07820e+00
38 1.07584e+00 1.07695e+00
39 1.08185e+00 1.07639e+00
40 1.06785e+00 1.07660e+00
41 1.07644e+00 1.07048e+00
42 1.09080e+00 1.07238e+00
43 1.07749e+00 1.07303e+00
44 1.07936e+00 1.06957e+00
45 1.05052e+00 1.06163e+00
46 1.05867e+00 1.05911e+00
47 1.06948e+00 1.06060e+00
48 1.07220e+00 1.06117e+00
49 1.07351e+00 1.05820e+00
50 1.08541e+00 1.06305e+00
51 1.07123e+00 1.06571e+00
52 1.05813e+00 1.05717e+00
53 1.07289e+00 1.06832e+00
54 1.05886e+00 1.06402e+00
55 1.07803e+00 1.06729e+00
56 1.05736e+00 1.06284e+00
57 1.05809e+00 1.06676e+00
58 1.07900e+00 1.05717e+00
59 1.04055e+00 1.06209e+00
60 1.05997e+00 1.05879e+00
61 1.04975e+00 1.05510e+00
62 1.05056e+00 1.04733e+00
63 1.04671e+00 1.05248e+00
64 1.04412e+00 1.04928e+00
65 1.04328e+00 1.04951e+00
66 1.04686e+00 1.04807e+00
67 1.05219e+00 1.04453e+00
68 1.04555e+00 1.05084e+00
69 1.07922e+00 1.04612e+00
70 1.05563e+00 1.05384e+00
71 1.05172e+00 1.04967e+00
72 1.05256e+00 1.04618e+00
73 1.02250e+00 1.06029e+00
74 1.05651e+00 1.05317e+00
75 1.06306e+00 1.04444e+00
76 1.04641e+00 1.04663e+00
77 1.03836e+00 1.04084e+00
78 1.01860e+00 1.04866e+00
79 1.03342e+00 1.03569e+00
80 1.02318e+00 1.04218e+00
81 1.05470e+00 1.04478e+00
82 1.01791e+00 1.04230e+00
83 1.03688e+00 1.03883e+00
84 1.02640e+00 1.04516e+00
85 1.01728e+00 1.04143e+00
86 1.02775e+00 1.03650e+00
87 1.01487e+00 1.04497e+00
88 1.03928e+00 1.04139e+00
89 1.03715e+00 1.04053e+00
90 1.03445e+00 1.04898e+00
91 1.01251e+00 1.04387e+00
92 1.02644e+00 1.04661e+00
93 1.02608e+00 1.03850e+00
94 1.01954e+00 1.04139e+00
95 1.03737e+00 1.04189e+00
96 9.95506e-01 1.04280e+00
97 1.02304e+00 1.03369e+00
98 1.03772e+00 1.04026e+00
99 1.01288e+00 1.03063e+00
100 9.94298e-01 1.02531e+00
101 1.02051e+00 1.03005e+00
102 1.01083e+00 1.03088e+00
103 1.00696e+00 1.04225e+00
104 1.00988e+00 1.04692e+00
105 1.00188e+00 1.02736e+00
106 1.02344e+00 1.02474e+00
107 1.03960e+00 1.02767e+00
108 1.01971e+00 1.02760e+00
109 9.93264e-01 1.03286e+00
110 1.00715e+00 1.03314e+00
111 9.87611e-01 1.02145e+00
112 9.89081e-01 1.03463e+00
113 9.96456e-01 1.03327e+00
114 1.00232e+00 1.02919e+00
115 9.97168e-01 1.02999e+00
116 9.88310e-01 1.04234e+00
117 1.03165e+00 1.03443e+00
118 1.00665e+00 1.04324e+00
119 1.01785e+00 1.03488e+00
120 1.00120e+00 1.03458e+00
121 1.00389e+00 1.03222e+00
122 9.93172e-01 1.03694e+00
123 1.01323e+00 1.03738e+00
124 9.87695e-01 1.02273e+00
125 9.85532e-01 1.03616e+00
126 1.00262e+00 1.03979e+00
127 1.01147e+00 1.04902e+00
128 9.93465e-01 1.03610e+00
129 9.91255e-01 1.03024e+00
130 9.84626e-01 1.02017e+00
131 1.00908e+00 1.02784e+00
132 9.97330e-01 1.02692e+00
133 1.00574e+00 1.03799e+00
134 9.92590e-01 1.03291e+00
135 9.82680e-01 1.02775e+00
136 1.00663e+00 1.02894e+00
137 9.72950e-01 1.02054e+00
138 9.87480e-01 1.03044e+00
139 9.79912e-01 1.03094e+00
140 9.98157e-01 1.03602e+00
141 9.94733e-01 1.02658e+00
142 9.93316e-01 1.02481e+00
143 9.68050e-01 1.02298e+00
144 9.83707e-01 1.01567e+00
