training dataset: fesc_test
seed = 5
umFeatures = 7
Feature List: SFRs, Mstars, masses, redshifts, fgases, min_dist, t_lookback
fluxSize = 4
batch_size = 80
epochs     = 1000
0 epoch  1 train loss  2 test loss
171 1.88580e+00 1.32983e+00
172 1.94713e+00 1.32971e+00
173 1.92268e+00 1.32959e+00
174 1.89749e+00 1.32945e+00
175 2.01342e+00 1.32930e+00
176 2.04057e+00 1.32915e+00
177 1.93755e+00 1.32904e+00
178 1.92573e+00 1.32886e+00
179 1.89216e+00 1.32871e+00
180 1.98991e+00 1.32857e+00
181 1.97593e+00 1.32841e+00
182 1.91001e+00 1.32827e+00
183 1.93973e+00 1.32813e+00
184 1.95342e+00 1.32801e+00
185 1.78930e+00 1.32788e+00
186 1.90693e+00 1.32776e+00
187 1.99343e+00 1.32760e+00
188 1.91884e+00 1.32749e+00
189 1.96775e+00 1.32731e+00
190 2.01757e+00 1.32717e+00
191 2.02359e+00 1.32700e+00
192 1.91234e+00 1.32683e+00
193 1.92973e+00 1.32665e+00
194 1.91396e+00 1.32652e+00
195 1.96913e+00 1.32637e+00
196 1.96658e+00 1.32626e+00
197 1.85560e+00 1.32615e+00
198 1.92703e+00 1.32606e+00
199 1.96858e+00 1.32593e+00
200 1.86304e+00 1.32581e+00
201 1.98152e+00 1.32566e+00
202 2.06360e+00 1.32553e+00
203 1.94886e+00 1.32538e+00
204 1.97785e+00 1.32525e+00
205 2.02802e+00 1.32510e+00
206 1.92338e+00 1.32496e+00
207 1.88344e+00 1.32482e+00
208 1.99154e+00 1.32469e+00
209 1.91062e+00 1.32453e+00
210 1.89359e+00 1.32439e+00
211 1.85382e+00 1.32425e+00
212 1.96797e+00 1.32412e+00
213 1.99610e+00 1.32396e+00
214 1.91865e+00 1.32378e+00
215 1.86199e+00 1.32371e+00
216 1.82733e+00 1.32359e+00
217 1.90136e+00 1.32346e+00
218 2.03143e+00 1.32334e+00
219 1.95497e+00 1.32321e+00
220 1.86989e+00 1.32308e+00
221 1.94040e+00 1.32296e+00
222 1.88283e+00 1.32283e+00
223 1.89721e+00 1.32272e+00
224 1.86233e+00 1.32261e+00
225 1.97071e+00 1.32250e+00
226 1.93919e+00 1.32240e+00
227 1.87610e+00 1.32232e+00
228 1.97380e+00 1.32222e+00
229 1.92483e+00 1.32208e+00
230 1.92464e+00 1.32198e+00
231 1.73716e+00 1.32188e+00
232 1.80432e+00 1.32178e+00
233 1.95131e+00 1.32169e+00
234 1.96640e+00 1.32156e+00
235 1.96555e+00 1.32145e+00
236 1.87461e+00 1.32136e+00
237 1.93561e+00 1.32126e+00
238 1.85447e+00 1.32116e+00
239 1.93754e+00 1.32105e+00
240 1.93889e+00 1.32095e+00
241 1.86515e+00 1.32086e+00
242 1.97874e+00 1.32076e+00
243 1.87887e+00 1.32066e+00
244 1.89923e+00 1.32055e+00
245 1.92559e+00 1.32045e+00
246 1.81641e+00 1.32037e+00
247 1.93904e+00 1.32025e+00
248 1.79662e+00 1.32016e+00
249 1.85938e+00 1.32004e+00
250 1.83239e+00 1.31990e+00
251 1.86585e+00 1.31979e+00
252 1.81430e+00 1.31967e+00
253 1.89709e+00 1.31958e+00
254 1.82391e+00 1.31948e+00
255 1.93150e+00 1.31942e+00
256 1.96744e+00 1.31930e+00
257 1.79158e+00 1.31923e+00
258 1.90729e+00 1.31916e+00
259 1.85383e+00 1.31905e+00
260 1.92246e+00 1.31895e+00
261 1.98101e+00 1.31884e+00
262 1.96613e+00 1.31878e+00
263 1.91415e+00 1.31870e+00
264 1.88811e+00 1.31860e+00
265 1.97934e+00 1.31851e+00
266 1.91493e+00 1.31840e+00
267 1.84234e+00 1.31832e+00
268 1.84724e+00 1.31824e+00
269 1.89512e+00 1.31816e+00
270 1.85338e+00 1.31808e+00
271 1.92831e+00 1.31799e+00
272 2.01647e+00 1.31787e+00
273 1.86220e+00 1.31779e+00
274 1.82617e+00 1.31770e+00
275 1.76130e+00 1.31761e+00
276 1.74544e+00 1.31756e+00
277 1.86205e+00 1.31747e+00
278 1.88603e+00 1.31741e+00
279 1.88360e+00 1.31735e+00
280 1.84467e+00 1.31724e+00
281 1.91210e+00 1.31716e+00
282 1.77596e+00 1.31708e+00
283 1.93024e+00 1.31697e+00
284 1.83745e+00 1.31693e+00
285 1.92098e+00 1.31689e+00
286 1.91037e+00 1.31683e+00
287 1.84860e+00 1.31674e+00
288 1.85305e+00 1.31664e+00
289 1.90252e+00 1.31653e+00
290 1.90724e+00 1.31646e+00
291 1.90194e+00 1.31637e+00
292 1.85186e+00 1.31629e+00
293 1.82457e+00 1.31622e+00
294 1.93501e+00 1.31613e+00
295 1.88873e+00 1.31607e+00
296 1.80024e+00 1.31599e+00
297 1.76934e+00 1.31593e+00
298 1.78141e+00 1.31586e+00
299 1.91495e+00 1.31583e+00
300 1.85022e+00 1.31579e+00
301 1.80597e+00 1.31570e+00
302 1.84851e+00 1.31561e+00
303 1.86447e+00 1.31552e+00
304 1.87163e+00 1.31545e+00
305 1.81939e+00 1.31535e+00
306 1.81467e+00 1.31530e+00
307 1.92071e+00 1.31523e+00
308 1.78361e+00 1.31517e+00
309 1.77955e+00 1.31511e+00
310 1.91640e+00 1.31507e+00
311 1.85572e+00 1.31499e+00
312 1.91482e+00 1.31493e+00
313 1.81298e+00 1.31483e+00
314 1.90120e+00 1.31474e+00
315 1.84160e+00 1.31467e+00
316 1.79086e+00 1.31459e+00
317 1.81026e+00 1.31450e+00
318 2.02033e+00 1.31443e+00
319 1.88279e+00 1.31434e+00
320 1.86110e+00 1.31425e+00
321 1.91777e+00 1.31419e+00
322 1.83099e+00 1.31412e+00
323 1.72676e+00 1.31408e+00
324 1.82250e+00 1.31403e+00
325 1.84377e+00 1.31398e+00
326 1.81658e+00 1.31391e+00
327 1.93164e+00 1.31382e+00
328 1.86347e+00 1.31375e+00
329 1.82427e+00 1.31370e+00
330 1.83817e+00 1.31364e+00
331 1.81776e+00 1.31359e+00
332 1.79136e+00 1.31352e+00
333 1.87637e+00 1.31347e+00
334 1.90888e+00 1.31341e+00
335 1.73554e+00 1.31334e+00
336 1.84525e+00 1.31330e+00
337 1.78778e+00 1.31326e+00
338 1.90729e+00 1.31316e+00
339 1.89872e+00 1.31307e+00
340 1.74436e+00 1.31301e+00
341 1.91630e+00 1.31293e+00
342 1.85380e+00 1.31287e+00
343 1.86711e+00 1.31280e+00
344 1.90586e+00 1.31273e+00
345 1.74728e+00 1.31264e+00
346 1.86084e+00 1.31257e+00
347 1.83695e+00 1.31251e+00
348 1.86146e+00 1.31244e+00
