training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.24969e+00 1.15233e+00
1 1.11344e+00 1.08945e+00
2 1.06059e+00 1.06181e+00
3 1.06039e+00 1.04406e+00
4 1.05831e+00 1.03848e+00
5 1.05090e+00 1.04711e+00
6 1.04279e+00 1.03658e+00
7 1.04571e+00 1.02077e+00
8 1.04351e+00 1.01972e+00
9 1.03520e+00 1.03044e+00
10 1.04000e+00 1.02800e+00
11 1.02642e+00 1.01617e+00
12 1.02542e+00 1.02048e+00
13 1.01988e+00 1.01227e+00
14 1.02872e+00 1.01840e+00
15 1.02861e+00 1.01136e+00
16 1.01822e+00 1.01344e+00
17 1.01669e+00 1.01332e+00
18 1.02109e+00 1.00808e+00
19 1.00937e+00 1.00510e+00
20 1.00090e+00 1.02179e+00
21 1.02786e+00 1.00999e+00
22 1.00270e+00 1.00022e+00
23 1.00309e+00 1.00446e+00
24 1.01843e+00 9.97580e-01
25 1.00327e+00 1.01331e+00
26 1.00860e+00 1.00209e+00
27 1.00432e+00 1.00105e+00
28 1.00005e+00 9.98389e-01
29 1.00104e+00 1.00615e+00
30 1.00801e+00 9.97579e-01
31 1.00001e+00 9.99365e-01
32 9.97214e-01 9.95349e-01
33 1.00150e+00 9.96723e-01
34 9.99751e-01 1.00534e+00
35 9.87513e-01 1.00648e+00
36 1.00087e+00 9.96603e-01
37 9.90833e-01 9.97830e-01
38 9.97338e-01 9.93634e-01
39 9.93015e-01 9.94059e-01
40 9.87982e-01 9.96406e-01
41 9.90060e-01 1.00242e+00
42 9.92622e-01 9.92842e-01
43 9.87134e-01 9.98396e-01
44 9.84797e-01 9.96682e-01
45 9.91483e-01 9.96217e-01
46 9.82212e-01 9.94567e-01
47 9.80714e-01 9.93349e-01
48 9.95134e-01 9.92274e-01
49 9.87949e-01 9.87394e-01
50 9.87224e-01 1.00090e+00
51 9.79850e-01 9.89503e-01
52 9.73287e-01 9.87445e-01
53 9.81899e-01 9.93613e-01
54 9.76166e-01 9.89846e-01
55 9.80988e-01 9.85888e-01
56 9.73358e-01 9.86821e-01
57 9.72473e-01 9.88587e-01
58 9.79604e-01 9.85797e-01
59 9.82243e-01 9.87830e-01
60 9.78233e-01 9.94607e-01
61 9.83971e-01 9.88154e-01
62 9.77759e-01 9.91240e-01
63 9.79842e-01 9.83164e-01
64 9.70892e-01 9.88605e-01
65 9.73425e-01 9.87499e-01
66 9.69456e-01 9.91598e-01
67 9.73363e-01 9.83516e-01
68 9.53434e-01 9.92021e-01
69 9.74009e-01 9.83994e-01
70 9.71177e-01 9.85280e-01
71 9.67365e-01 9.82750e-01
72 9.68002e-01 9.78595e-01
73 9.70403e-01 9.89637e-01
74 9.67592e-01 9.81241e-01
75 9.55017e-01 9.84913e-01
76 9.59374e-01 9.81572e-01
77 9.51089e-01 9.81770e-01
78 9.56203e-01 9.78945e-01
79 9.60112e-01 9.79693e-01
80 9.54658e-01 9.80352e-01
