training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.30549e+00 1.20957e+00
1 1.15952e+00 1.12857e+00
2 1.09846e+00 1.09016e+00
3 1.07805e+00 1.06445e+00
4 1.06792e+00 1.07256e+00
5 1.06366e+00 1.04820e+00
6 1.05746e+00 1.04309e+00
7 1.04381e+00 1.03943e+00
8 1.05271e+00 1.02853e+00
9 1.04582e+00 1.04059e+00
10 1.04524e+00 1.02258e+00
11 1.03668e+00 1.05113e+00
12 1.03532e+00 1.03674e+00
13 1.04024e+00 1.02225e+00
14 1.04017e+00 1.02922e+00
15 1.04108e+00 1.01737e+00
16 1.02102e+00 1.01223e+00
17 1.02186e+00 1.01395e+00
18 1.03012e+00 1.01098e+00
19 1.02885e+00 1.00883e+00
20 1.02893e+00 1.01531e+00
21 1.01293e+00 1.01202e+00
22 1.01309e+00 1.00508e+00
23 1.02387e+00 1.00622e+00
24 1.01557e+00 1.02446e+00
25 1.01251e+00 1.00234e+00
26 1.00762e+00 1.00321e+00
27 1.00017e+00 1.00387e+00
28 1.01485e+00 1.00160e+00
29 1.00626e+00 1.00683e+00
30 1.00095e+00 1.00893e+00
31 1.00433e+00 1.01436e+00
32 9.98440e-01 1.00300e+00
33 1.01439e+00 1.00081e+00
34 1.01014e+00 1.00353e+00
35 1.00031e+00 1.00318e+00
36 1.00700e+00 1.00291e+00
37 1.00464e+00 9.98551e-01
38 1.00744e+00 1.00682e+00
39 9.96565e-01 1.00000e+00
40 9.96930e-01 1.00439e+00
41 1.01668e+00 9.97898e-01
42 1.00111e+00 9.99458e-01
43 1.00109e+00 9.98298e-01
44 9.94380e-01 1.00391e+00
45 9.98566e-01 1.00403e+00
46 9.91217e-01 1.00185e+00
47 1.00591e+00 9.99164e-01
48 9.88660e-01 1.00610e+00
49 1.00483e+00 1.01069e+00
50 9.97500e-01 1.00255e+00
51 1.00626e+00 1.00032e+00
52 1.00040e+00 9.96456e-01
53 1.00082e+00 1.00532e+00
54 9.91375e-01 1.00432e+00
55 9.90892e-01 9.96314e-01
56 9.88413e-01 9.93693e-01
57 9.93111e-01 9.94104e-01
58 9.88722e-01 9.96122e-01
59 9.83248e-01 9.93297e-01
60 9.87994e-01 9.92420e-01
61 9.86601e-01 9.99753e-01
62 9.77704e-01 9.93960e-01
63 9.86036e-01 9.93903e-01
64 9.93567e-01 9.91899e-01
65 9.83883e-01 9.94274e-01
66 9.83596e-01 9.89991e-01
67 9.89905e-01 9.88784e-01
68 9.80328e-01 9.90334e-01
69 9.80406e-01 9.90185e-01
70 9.92929e-01 9.92492e-01
71 9.85779e-01 9.96129e-01
72 9.81910e-01 9.94382e-01
73 9.81376e-01 9.94681e-01
74 9.84657e-01 9.92675e-01
75 9.89105e-01 9.91067e-01
76 9.74892e-01 9.91032e-01
77 9.81626e-01 9.88528e-01
78 9.79242e-01 9.86860e-01
79 9.80550e-01 9.87826e-01
80 9.80066e-01 9.87494e-01
