training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.40214e+00 1.36094e+00
1 1.37026e+00 1.33045e+00
2 1.33423e+00 1.30438e+00
3 1.30225e+00 1.28204e+00
4 1.28196e+00 1.26233e+00
5 1.25738e+00 1.24551e+00
6 1.23736e+00 1.23146e+00
7 1.23240e+00 1.21868e+00
8 1.21568e+00 1.20835e+00
9 1.19164e+00 1.19869e+00
10 1.20127e+00 1.19034e+00
11 1.19478e+00 1.18319e+00
12 1.17135e+00 1.17653e+00
13 1.17457e+00 1.16999e+00
14 1.17449e+00 1.16469e+00
15 1.15424e+00 1.15971e+00
16 1.14758e+00 1.15476e+00
17 1.14967e+00 1.15013e+00
18 1.13578e+00 1.14586e+00
19 1.13844e+00 1.14151e+00
20 1.14714e+00 1.13776e+00
21 1.13626e+00 1.13408e+00
22 1.13235e+00 1.13066e+00
23 1.11437e+00 1.12740e+00
24 1.12407e+00 1.12400e+00
25 1.11822e+00 1.12088e+00
26 1.12487e+00 1.11799e+00
27 1.12583e+00 1.11537e+00
28 1.10928e+00 1.11280e+00
29 1.11188e+00 1.11056e+00
30 1.11010e+00 1.10801e+00
31 1.10394e+00 1.10557e+00
32 1.10460e+00 1.10351e+00
33 1.09642e+00 1.10145e+00
34 1.09741e+00 1.09968e+00
35 1.09674e+00 1.09765e+00
36 1.09369e+00 1.09577e+00
37 1.09057e+00 1.09398e+00
38 1.08358e+00 1.09238e+00
39 1.08854e+00 1.09059e+00
40 1.08191e+00 1.08952e+00
41 1.09830e+00 1.08808e+00
42 1.09418e+00 1.08634e+00
43 1.08152e+00 1.08475e+00
44 1.07945e+00 1.08339e+00
45 1.09076e+00 1.08228e+00
46 1.07922e+00 1.08083e+00
47 1.07035e+00 1.07935e+00
48 1.08167e+00 1.07835e+00
49 1.08424e+00 1.07712e+00
50 1.06875e+00 1.07638e+00
51 1.07396e+00 1.07498e+00
52 1.08213e+00 1.07383e+00
53 1.07814e+00 1.07266e+00
54 1.07270e+00 1.07190e+00
55 1.07271e+00 1.07140e+00
56 1.07905e+00 1.07061e+00
57 1.07758e+00 1.06946e+00
58 1.07256e+00 1.06863e+00
59 1.07289e+00 1.06768e+00
60 1.06611e+00 1.06699e+00
61 1.06803e+00 1.06625e+00
62 1.07489e+00 1.06504e+00
63 1.07500e+00 1.06412e+00
64 1.06419e+00 1.06346e+00
65 1.06479e+00 1.06237e+00
66 1.07403e+00 1.06172e+00
67 1.07383e+00 1.06104e+00
68 1.06992e+00 1.06038e+00
69 1.06884e+00 1.05951e+00
70 1.06766e+00 1.05905e+00
71 1.06989e+00 1.05835e+00
72 1.06507e+00 1.05823e+00
73 1.06011e+00 1.05803e+00
74 1.06185e+00 1.05714e+00
75 1.06641e+00 1.05661e+00
76 1.05794e+00 1.05604e+00
77 1.07051e+00 1.05522e+00
78 1.06370e+00 1.05500e+00
79 1.06564e+00 1.05436e+00
80 1.06129e+00 1.05392e+00
