training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
172 8.99045e-01 9.66039e-01
173 8.94758e-01 9.55182e-01
174 9.17558e-01 9.52406e-01
175 9.07472e-01 9.55273e-01
176 8.97218e-01 9.59861e-01
177 8.90597e-01 9.57206e-01
178 8.99650e-01 9.62623e-01
179 9.02737e-01 9.54092e-01
180 9.14020e-01 9.64135e-01
181 9.08438e-01 9.60090e-01
182 8.97549e-01 9.59061e-01
183 9.06344e-01 9.62460e-01
184 9.05780e-01 9.52334e-01
185 8.94576e-01 9.60654e-01
186 9.00132e-01 9.64824e-01
187 8.93056e-01 9.55955e-01
188 9.05083e-01 9.51435e-01
189 9.01347e-01 9.49546e-01
190 8.95822e-01 9.51860e-01
191 8.97533e-01 9.51378e-01
192 8.95182e-01 9.44774e-01
193 8.88606e-01 9.48560e-01
194 8.95045e-01 9.52168e-01
195 9.16576e-01 9.51285e-01
196 8.85579e-01 9.56513e-01
197 8.94074e-01 9.58711e-01
198 8.92139e-01 9.55906e-01
199 8.80145e-01 9.47973e-01
200 9.02175e-01 9.44680e-01
201 8.84910e-01 9.50119e-01
202 8.91041e-01 9.52367e-01
203 8.96758e-01 9.51422e-01
204 9.04982e-01 9.46909e-01
205 8.78122e-01 9.49232e-01
206 8.98677e-01 9.49657e-01
207 8.84652e-01 9.50556e-01
208 8.84494e-01 9.51673e-01
209 8.91815e-01 9.51587e-01
210 8.84292e-01 9.63975e-01
211 8.91534e-01 9.55465e-01
212 9.05235e-01 9.50771e-01
213 8.84446e-01 9.51242e-01
214 8.97685e-01 9.54175e-01
215 8.88317e-01 9.56863e-01
216 8.92729e-01 9.59243e-01
217 8.80843e-01 9.52352e-01
218 8.90423e-01 9.57275e-01
219 8.85307e-01 9.50036e-01
220 8.77609e-01 9.53725e-01
221 8.80881e-01 9.48908e-01
222 8.93926e-01 9.50093e-01
223 8.79430e-01 9.50552e-01
224 8.78565e-01 9.51202e-01
225 8.79939e-01 9.53774e-01
226 8.80188e-01 9.53196e-01
227 8.82864e-01 9.49378e-01
228 8.83923e-01 9.49613e-01
229 8.78044e-01 9.47929e-01
230 8.99983e-01 9.50695e-01
231 8.78481e-01 9.51141e-01
232 8.83817e-01 9.52889e-01
233 8.84135e-01 9.52007e-01
234 8.77030e-01 9.52588e-01
235 8.82173e-01 9.45545e-01
236 8.79957e-01 9.51641e-01
237 8.68904e-01 9.50160e-01
238 8.93741e-01 9.58790e-01
239 8.70189e-01 9.62117e-01
240 8.71065e-01 9.67982e-01
241 8.69452e-01 9.49829e-01
242 8.85249e-01 9.59514e-01
243 8.71518e-01 9.52757e-01
244 8.87635e-01 9.47087e-01
245 8.72759e-01 9.49995e-01
246 8.73794e-01 9.51606e-01
247 8.92297e-01 9.51365e-01
248 8.84482e-01 9.45985e-01
249 8.74197e-01 9.63619e-01
250 8.66230e-01 9.55802e-01
251 8.86624e-01 9.54078e-01
252 8.74354e-01 9.42318e-01
253 8.91529e-01 9.46224e-01
254 8.60358e-01 9.44235e-01
255 8.70684e-01 9.57525e-01
256 8.71987e-01 9.54304e-01
257 8.66532e-01 9.43964e-01
258 8.69091e-01 9.49479e-01
259 8.70039e-01 9.54747e-01
260 8.72441e-01 9.48887e-01
261 8.61848e-01 9.62967e-01
262 8.80316e-01 9.46807e-01
263 8.85843e-01 9.48564e-01
264 8.67169e-01 9.37716e-01
265 8.74523e-01 9.51743e-01
266 8.84021e-01 9.40306e-01
267 8.54538e-01 9.53014e-01
268 8.58222e-01 9.45677e-01
269 8.75442e-01 9.38839e-01
270 8.68682e-01 9.44563e-01
271 8.74986e-01 9.42546e-01
272 8.74011e-01 9.56161e-01
273 8.58285e-01 9.52968e-01
274 8.79591e-01 9.51036e-01
275 8.69068e-01 9.48584e-01
276 8.73846e-01 9.50291e-01
277 8.64658e-01 9.54910e-01
278 8.61088e-01 9.39512e-01
279 8.66438e-01 9.48304e-01
280 8.63571e-01 9.44601e-01
281 8.78595e-01 9.43750e-01
282 8.74450e-01 9.44114e-01
283 8.66981e-01 9.47216e-01
284 8.59934e-01 9.52991e-01
285 8.66014e-01 9.42618e-01
286 8.65466e-01 9.44722e-01
287 8.62261e-01 9.50837e-01
288 8.57421e-01 9.62252e-01
289 8.45038e-01 9.44271e-01
290 8.60521e-01 9.49727e-01
291 8.60019e-01 9.55731e-01
292 8.58672e-01 9.41582e-01
293 8.60165e-01 9.37651e-01
294 8.64791e-01 9.48212e-01
295 8.54900e-01 9.49840e-01
296 8.64160e-01 9.46952e-01
297 8.54042e-01 9.49433e-01
298 8.58977e-01 9.45458e-01
299 8.58737e-01 9.46094e-01
300 8.73813e-01 9.56922e-01
301 8.61187e-01 9.54109e-01
302 8.38342e-01 9.43501e-01
303 8.40670e-01 9.40013e-01
304 8.48727e-01 9.49810e-01
305 8.58135e-01 9.43209e-01
306 8.65365e-01 9.36817e-01
307 8.53340e-01 9.45796e-01
308 8.67062e-01 9.32807e-01
309 8.44769e-01 9.44892e-01
310 8.48378e-01 9.51305e-01
311 8.52947e-01 9.46376e-01
312 8.48886e-01 9.46513e-01
313 8.54635e-01 9.44111e-01
314 8.52156e-01 9.52238e-01
315 8.46720e-01 9.50684e-01
316 8.44275e-01 9.56789e-01
317 8.48489e-01 9.36921e-01
318 8.53679e-01 9.45560e-01
319 8.68881e-01 9.48576e-01
320 8.60004e-01 9.38161e-01
321 8.47398e-01 9.32487e-01
322 8.40833e-01 9.39123e-01
323 8.43431e-01 9.41693e-01
324 8.55298e-01 9.48374e-01
325 8.47336e-01 9.34639e-01
326 8.39627e-01 9.53753e-01
327 8.42755e-01 9.43932e-01
328 8.32488e-01 9.46796e-01
329 8.65205e-01 9.37666e-01
330 8.57097e-01 9.37056e-01
331 8.40794e-01 9.44293e-01
332 8.41650e-01 9.45349e-01
333 8.47922e-01 9.43193e-01
334 8.49450e-01 9.41849e-01
335 8.42130e-01 9.42717e-01
336 8.35055e-01 9.38954e-01
337 8.42005e-01 9.50566e-01
338 8.40170e-01 9.37352e-01
339 8.63252e-01 9.35465e-01
340 8.56060e-01 9.36250e-01
341 8.57489e-01 9.41867e-01
342 8.41941e-01 9.32185e-01
343 8.42713e-01 9.42931e-01
344 8.38430e-01 9.36834e-01
345 8.51862e-01 9.39067e-01
346 8.45015e-01 9.44678e-01
347 8.47321e-01 9.41740e-01
348 8.38346e-01 9.40354e-01
349 8.19135e-01 9.38428e-01
350 8.39573e-01 9.41629e-01
351 8.57951e-01 9.41502e-01
352 8.30429e-01 9.47075e-01
353 8.32901e-01 9.53271e-01
354 8.35489e-01 9.43169e-01
355 8.43971e-01 9.49440e-01
356 8.43525e-01 9.59512e-01
357 8.50690e-01 9.50751e-01
358 8.43106e-01 9.50092e-01
359 8.40036e-01 9.45725e-01
360 8.23041e-01 9.48264e-01
361 8.37007e-01 9.35265e-01
362 8.22896e-01 9.36675e-01
363 8.33565e-01 9.47707e-01
364 8.57594e-01 9.45837e-01
365 8.46297e-01 9.47846e-01
366 8.35957e-01 9.32493e-01
367 8.23341e-01 9.40124e-01
368 8.39293e-01 9.41672e-01
369 8.33083e-01 9.41170e-01
370 8.23554e-01 9.41995e-01
371 8.51818e-01 9.41734e-01
372 8.19596e-01 9.43382e-01
373 8.56877e-01 9.43478e-01
374 8.31354e-01 9.47856e-01
375 8.35116e-01 9.41780e-01
376 8.15520e-01 9.45184e-01
377 8.16018e-01 9.34744e-01
378 8.28754e-01 9.28172e-01
379 8.37325e-01 9.39623e-01
380 8.29271e-01 9.39989e-01
381 8.38714e-01 9.33570e-01
382 8.21433e-01 9.40198e-01
383 8.35353e-01 9.38678e-01
384 8.47657e-01 9.38814e-01
385 8.30209e-01 9.35944e-01
386 8.14554e-01 9.38514e-01
387 8.20613e-01 9.48705e-01
388 8.23802e-01 9.49015e-01
389 8.47097e-01 9.47770e-01
390 8.26363e-01 9.40440e-01
391 8.41704e-01 9.33946e-01
392 8.24248e-01 9.52885e-01
393 8.24593e-01 9.38855e-01
394 8.22602e-01 9.40274e-01
395 8.29459e-01 9.35776e-01
396 8.35444e-01 9.52346e-01
397 8.34315e-01 9.46283e-01
398 8.32573e-01 9.43818e-01
399 8.17495e-01 9.33242e-01
400 8.53154e-01 9.33887e-01
401 8.39513e-01 9.37369e-01
402 8.31747e-01 9.27763e-01
403 8.19384e-01 9.26939e-01
404 8.05034e-01 9.45609e-01
405 8.16823e-01 9.36319e-01
406 8.17920e-01 9.45610e-01
407 8.30623e-01 9.51765e-01
408 8.26903e-01 9.38521e-01
409 8.35554e-01 9.37736e-01
410 8.35267e-01 9.42164e-01
411 8.42910e-01 9.37599e-01
412 8.00668e-01 9.32432e-01
413 8.32810e-01 9.41145e-01
