training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.53952e+00 1.47378e+00
1 1.51047e+00 1.47263e+00
2 1.50779e+00 1.47147e+00
3 1.50196e+00 1.47034e+00
4 1.52178e+00 1.46921e+00
5 1.50056e+00 1.46811e+00
6 1.50165e+00 1.46696e+00
7 1.51496e+00 1.46584e+00
8 1.50647e+00 1.46470e+00
9 1.50076e+00 1.46358e+00
10 1.49196e+00 1.46247e+00
11 1.51879e+00 1.46133e+00
12 1.49704e+00 1.46026e+00
13 1.49854e+00 1.45913e+00
14 1.49142e+00 1.45803e+00
15 1.50735e+00 1.45691e+00
16 1.48570e+00 1.45583e+00
17 1.49921e+00 1.45471e+00
18 1.48940e+00 1.45360e+00
19 1.50103e+00 1.45253e+00
20 1.49008e+00 1.45145e+00
21 1.48452e+00 1.45039e+00
22 1.48135e+00 1.44933e+00
23 1.50555e+00 1.44824e+00
24 1.48882e+00 1.44719e+00
25 1.47607e+00 1.44614e+00
26 1.48230e+00 1.44508e+00
27 1.48203e+00 1.44401e+00
28 1.47601e+00 1.44295e+00
29 1.50257e+00 1.44185e+00
30 1.46963e+00 1.44079e+00
31 1.47599e+00 1.43973e+00
32 1.47659e+00 1.43869e+00
33 1.45738e+00 1.43765e+00
34 1.47754e+00 1.43663e+00
35 1.46704e+00 1.43564e+00
36 1.47234e+00 1.43463e+00
37 1.47535e+00 1.43362e+00
38 1.47324e+00 1.43265e+00
39 1.47884e+00 1.43162e+00
40 1.46820e+00 1.43058e+00
41 1.46491e+00 1.42958e+00
42 1.46965e+00 1.42858e+00
43 1.47327e+00 1.42756e+00
44 1.46595e+00 1.42658e+00
45 1.44954e+00 1.42559e+00
46 1.45237e+00 1.42461e+00
47 1.46336e+00 1.42364e+00
48 1.46287e+00 1.42265e+00
49 1.45908e+00 1.42170e+00
50 1.46040e+00 1.42073e+00
51 1.47565e+00 1.41979e+00
52 1.47360e+00 1.41879e+00
53 1.45909e+00 1.41784e+00
54 1.45469e+00 1.41688e+00
55 1.43313e+00 1.41589e+00
56 1.44239e+00 1.41494e+00
57 1.45767e+00 1.41396e+00
58 1.45005e+00 1.41302e+00
59 1.44821e+00 1.41207e+00
60 1.44898e+00 1.41114e+00
61 1.44248e+00 1.41021e+00
62 1.44488e+00 1.40928e+00
63 1.44292e+00 1.40836e+00
64 1.44543e+00 1.40742e+00
65 1.43828e+00 1.40653e+00
66 1.43181e+00 1.40560e+00
67 1.44958e+00 1.40469e+00
68 1.43402e+00 1.40379e+00
69 1.44589e+00 1.40288e+00
70 1.43832e+00 1.40198e+00
71 1.42812e+00 1.40107e+00
72 1.44185e+00 1.40015e+00
73 1.43955e+00 1.39927e+00
74 1.42922e+00 1.39837e+00
75 1.44155e+00 1.39742e+00
76 1.43617e+00 1.39653e+00
77 1.42738e+00 1.39566e+00
78 1.43224e+00 1.39476e+00
79 1.43255e+00 1.39387e+00
80 1.43214e+00 1.39297e+00
