training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.45019e+00 1.43992e+00
1 1.48859e+00 1.43964e+00
2 1.47883e+00 1.43937e+00
3 1.47232e+00 1.43908e+00
4 1.47033e+00 1.43881e+00
5 1.47946e+00 1.43856e+00
6 1.48936e+00 1.43828e+00
7 1.48386e+00 1.43796e+00
8 1.47624e+00 1.43768e+00
9 1.46031e+00 1.43740e+00
10 1.47885e+00 1.43715e+00
11 1.47106e+00 1.43688e+00
12 1.44996e+00 1.43662e+00
13 1.47288e+00 1.43637e+00
14 1.45041e+00 1.43613e+00
15 1.49155e+00 1.43586e+00
16 1.45895e+00 1.43559e+00
17 1.47749e+00 1.43535e+00
18 1.49643e+00 1.43509e+00
19 1.46433e+00 1.43483e+00
20 1.44705e+00 1.43457e+00
21 1.48590e+00 1.43429e+00
22 1.46553e+00 1.43401e+00
23 1.46303e+00 1.43375e+00
24 1.45980e+00 1.43347e+00
25 1.45168e+00 1.43319e+00
26 1.48618e+00 1.43290e+00
27 1.45990e+00 1.43262e+00
28 1.46711e+00 1.43235e+00
29 1.43793e+00 1.43208e+00
30 1.45258e+00 1.43183e+00
31 1.46307e+00 1.43157e+00
32 1.47691e+00 1.43128e+00
33 1.45308e+00 1.43102e+00
34 1.45337e+00 1.43079e+00
35 1.46423e+00 1.43056e+00
36 1.46812e+00 1.43029e+00
37 1.46265e+00 1.43004e+00
38 1.45481e+00 1.42979e+00
39 1.45778e+00 1.42952e+00
40 1.45889e+00 1.42924e+00
41 1.43269e+00 1.42898e+00
42 1.44069e+00 1.42874e+00
43 1.45830e+00 1.42851e+00
44 1.46480e+00 1.42829e+00
45 1.46427e+00 1.42804e+00
46 1.46373e+00 1.42775e+00
47 1.46838e+00 1.42750e+00
48 1.47085e+00 1.42725e+00
49 1.45516e+00 1.42699e+00
50 1.44582e+00 1.42673e+00
51 1.45657e+00 1.42645e+00
52 1.44625e+00 1.42618e+00
53 1.46596e+00 1.42595e+00
54 1.46934e+00 1.42570e+00
55 1.45509e+00 1.42546e+00
56 1.45039e+00 1.42519e+00
57 1.45102e+00 1.42492e+00
58 1.44945e+00 1.42470e+00
59 1.45105e+00 1.42449e+00
60 1.43376e+00 1.42426e+00
61 1.46180e+00 1.42404e+00
62 1.45805e+00 1.42379e+00
63 1.45080e+00 1.42355e+00
64 1.45647e+00 1.42332e+00
65 1.46449e+00 1.42308e+00
66 1.44071e+00 1.42285e+00
67 1.44463e+00 1.42262e+00
68 1.44507e+00 1.42239e+00
69 1.44188e+00 1.42217e+00
70 1.45042e+00 1.42193e+00
71 1.45559e+00 1.42168e+00
72 1.45416e+00 1.42146e+00
73 1.44515e+00 1.42123e+00
74 1.41799e+00 1.42100e+00
75 1.45876e+00 1.42074e+00
76 1.46570e+00 1.42050e+00
77 1.45409e+00 1.42030e+00
78 1.47859e+00 1.42003e+00
79 1.47049e+00 1.41975e+00
80 1.44442e+00 1.41950e+00
