training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
172 8.36843e-01 8.19344e-01
173 8.43297e-01 8.40172e-01
174 8.40409e-01 8.23928e-01
175 8.37640e-01 8.25667e-01
176 8.36292e-01 8.37920e-01
177 8.34351e-01 8.35196e-01
178 8.39146e-01 8.23845e-01
179 8.30596e-01 8.39565e-01
180 8.46465e-01 8.47647e-01
181 8.45207e-01 8.62567e-01
182 8.49757e-01 8.26053e-01
183 8.40326e-01 8.20362e-01
184 8.36465e-01 8.45229e-01
185 8.46097e-01 8.43651e-01
186 8.35077e-01 8.22089e-01
187 8.35597e-01 8.36194e-01
188 8.55407e-01 8.17433e-01
189 8.35943e-01 8.22037e-01
190 8.49870e-01 8.37860e-01
191 8.33427e-01 8.27064e-01
192 8.27800e-01 8.40307e-01
193 8.34558e-01 8.47185e-01
194 8.33473e-01 8.50840e-01
195 8.43718e-01 8.28513e-01
196 8.36481e-01 8.55257e-01
197 8.42133e-01 8.55774e-01
198 8.35648e-01 8.34058e-01
199 8.29601e-01 8.38385e-01
200 8.36371e-01 8.34240e-01
201 8.28674e-01 8.36458e-01
202 8.30226e-01 8.37097e-01
203 8.31427e-01 8.35641e-01
204 8.37912e-01 8.43381e-01
205 8.47405e-01 8.31044e-01
206 8.33935e-01 8.48415e-01
207 8.36325e-01 8.45688e-01
208 8.35342e-01 8.31879e-01
209 8.31130e-01 8.41995e-01
210 8.44651e-01 8.41652e-01
211 8.26933e-01 8.55086e-01
212 8.34138e-01 8.35563e-01
213 8.40587e-01 8.28997e-01
214 8.41655e-01 8.35321e-01
215 8.22608e-01 8.26675e-01
216 8.20079e-01 8.41448e-01
217 8.29721e-01 8.29670e-01
218 8.46775e-01 8.33790e-01
219 8.34985e-01 8.31453e-01
220 8.22675e-01 8.41041e-01
221 8.43110e-01 8.24950e-01
222 8.24582e-01 8.36550e-01
223 8.31889e-01 8.33445e-01
224 8.37488e-01 8.27226e-01
225 8.47777e-01 8.30441e-01
226 8.23153e-01 8.34621e-01
227 8.40722e-01 8.22703e-01
228 8.38419e-01 8.14953e-01
229 8.29046e-01 8.21391e-01
230 8.21379e-01 8.20879e-01
231 8.26601e-01 8.10107e-01
232 8.36316e-01 8.37242e-01
233 8.32234e-01 8.18033e-01
234 8.39115e-01 8.27855e-01
235 8.22103e-01 8.58662e-01
236 8.29955e-01 8.33422e-01
237 8.31449e-01 8.19441e-01
238 8.20639e-01 8.36562e-01
239 8.40251e-01 8.34607e-01
240 8.30586e-01 8.23840e-01
241 8.24286e-01 8.15268e-01
242 8.23730e-01 8.26616e-01
243 8.31018e-01 8.22047e-01
244 8.29857e-01 8.17933e-01
245 8.38881e-01 8.39463e-01
246 8.14034e-01 8.41793e-01
247 8.42500e-01 8.27591e-01
248 8.24077e-01 8.35110e-01
249 8.15654e-01 8.37900e-01
250 8.22866e-01 8.25496e-01
251 8.21611e-01 8.38163e-01
252 8.36468e-01 8.49224e-01
253 8.26158e-01 8.35114e-01
254 8.24601e-01 8.32105e-01
255 8.23442e-01 8.34823e-01
256 8.25622e-01 8.39649e-01
257 8.26258e-01 8.54713e-01
258 8.18983e-01 8.36975e-01
259 8.21861e-01 8.34164e-01
260 8.31721e-01 8.46420e-01
261 8.20783e-01 8.28173e-01
262 8.18084e-01 8.53636e-01
263 8.22452e-01 8.38386e-01
264 8.19742e-01 8.35493e-01
265 8.16026e-01 8.43936e-01
266 8.37975e-01 8.45576e-01
267 8.27660e-01 8.57693e-01
268 8.20936e-01 8.62189e-01
269 8.23084e-01 8.40534e-01
270 8.17929e-01 8.24536e-01
271 8.19340e-01 8.24367e-01
272 8.07431e-01 8.60971e-01
273 8.34283e-01 8.34485e-01
274 8.18402e-01 8.25465e-01
275 8.06972e-01 8.54814e-01
276 8.26783e-01 8.36863e-01
277 8.27850e-01 8.21670e-01
278 8.20845e-01 8.29692e-01
279 8.23407e-01 8.53721e-01
280 8.16475e-01 8.43002e-01
281 8.24186e-01 8.25910e-01
282 8.14000e-01 8.22649e-01
283 8.17262e-01 8.21896e-01
284 8.20330e-01 8.45010e-01
285 8.20247e-01 8.41370e-01
286 8.13743e-01 8.28703e-01
287 8.16196e-01 8.36866e-01
288 7.95279e-01 8.51727e-01
289 8.17012e-01 8.32310e-01
290 8.35009e-01 8.21492e-01
291 8.13023e-01 8.25870e-01
292 8.15494e-01 8.36682e-01
293 8.24356e-01 8.21490e-01
294 8.19919e-01 8.18203e-01
295 8.18106e-01 8.21520e-01
296 8.05862e-01 8.37136e-01
297 8.23214e-01 8.31584e-01
298 8.24843e-01 8.31878e-01
299 8.15251e-01 8.31486e-01
300 8.18757e-01 8.36709e-01
301 8.07834e-01 8.43307e-01
302 8.32884e-01 8.30065e-01
303 8.08591e-01 8.61797e-01
304 8.15924e-01 8.59886e-01
305 8.11001e-01 8.42368e-01
306 8.10667e-01 8.34592e-01
307 8.17055e-01 8.24864e-01
308 8.05978e-01 8.49448e-01
309 8.01220e-01 8.46851e-01
310 8.15452e-01 8.36464e-01
311 8.08962e-01 8.34508e-01
312 8.26514e-01 8.25616e-01
313 8.14238e-01 8.26030e-01
314 8.23239e-01 8.39226e-01
315 8.23179e-01 8.39007e-01
316 8.10722e-01 8.50950e-01
317 8.05765e-01 8.23998e-01
318 8.22283e-01 8.24676e-01
319 8.11877e-01 8.34789e-01
320 8.02444e-01 8.43290e-01
321 8.15638e-01 8.20890e-01
322 8.06734e-01 8.29705e-01
323 8.13959e-01 8.40926e-01
324 8.15659e-01 8.14584e-01
325 8.25280e-01 8.62018e-01
326 7.95136e-01 8.39934e-01
327 8.08322e-01 8.30567e-01
328 8.05893e-01 8.25022e-01
329 8.21948e-01 8.23598e-01
330 8.04051e-01 8.67563e-01
331 8.03973e-01 8.53673e-01
332 8.08522e-01 8.19246e-01
333 7.94138e-01 8.50101e-01
334 8.02153e-01 8.40114e-01
335 8.16941e-01 8.46261e-01
336 8.00324e-01 8.40040e-01
337 7.96390e-01 8.40271e-01
338 8.01135e-01 8.16028e-01
339 8.11065e-01 8.61402e-01
340 8.16760e-01 8.39260e-01
341 8.05009e-01 8.16703e-01
342 8.08252e-01 8.18589e-01
343 8.08650e-01 8.50930e-01
344 8.26006e-01 8.43063e-01
345 8.05809e-01 8.38131e-01
346 8.02541e-01 8.46374e-01
347 8.01826e-01 8.14847e-01
348 8.14443e-01 8.47600e-01
349 8.05389e-01 8.31001e-01
350 8.03157e-01 8.35810e-01
351 8.22127e-01 8.37305e-01
352 8.17287e-01 8.38720e-01
353 8.19073e-01 8.26858e-01
354 8.01842e-01 8.13772e-01
355 7.98684e-01 8.33264e-01
356 8.02049e-01 8.15876e-01
357 8.03198e-01 8.32692e-01
358 7.94993e-01 8.21712e-01
359 8.13894e-01 8.32608e-01
360 8.12086e-01 8.26962e-01
361 8.04488e-01 8.20531e-01
362 8.04751e-01 8.19006e-01
363 7.98665e-01 8.27462e-01
364 8.01513e-01 8.27671e-01
365 8.00402e-01 8.27933e-01
366 7.99528e-01 8.35406e-01
367 8.07169e-01 8.26123e-01
368 8.12513e-01 8.27394e-01
369 8.09787e-01 8.41646e-01
370 7.97620e-01 8.10699e-01
371 7.98187e-01 8.09223e-01
372 8.08600e-01 8.63052e-01
373 8.20822e-01 8.15355e-01
374 8.08207e-01 8.41270e-01
375 7.89304e-01 8.29128e-01
376 8.07403e-01 8.17551e-01
377 8.02302e-01 8.32243e-01
378 8.18125e-01 8.30650e-01
379 8.18083e-01 8.19558e-01
380 8.01909e-01 8.34732e-01
381 7.94343e-01 8.07096e-01
382 7.96471e-01 8.11907e-01
383 8.01871e-01 8.19877e-01
384 8.00860e-01 8.23936e-01
385 7.90305e-01 8.12779e-01
386 7.91204e-01 8.21520e-01
387 8.03788e-01 8.31383e-01
388 8.10801e-01 8.17751e-01
389 7.83119e-01 8.18488e-01
390 8.10340e-01 8.34368e-01
391 7.96382e-01 8.23196e-01
392 7.86921e-01 8.31213e-01
393 8.00113e-01 8.11202e-01
394 8.01751e-01 8.21584e-01
395 7.89611e-01 8.34258e-01
396 8.00319e-01 8.43417e-01
397 7.91029e-01 8.23984e-01
398 8.06168e-01 8.53754e-01
399 8.04097e-01 8.26170e-01
400 8.05764e-01 8.30807e-01
401 7.92997e-01 8.39993e-01
402 7.96748e-01 8.25942e-01
403 8.08140e-01 8.14062e-01
404 8.07462e-01 8.28738e-01
405 7.95419e-01 8.10432e-01
406 7.91105e-01 8.35191e-01
407 7.98506e-01 8.18966e-01
408 7.92960e-01 8.22157e-01
409 8.10005e-01 8.21902e-01
410 7.95551e-01 8.19171e-01
411 8.01524e-01 8.42585e-01
412 8.17327e-01 8.24548e-01
413 7.95459e-01 8.08903e-01
414 7.96712e-01 8.37798e-01
415 7.87481e-01 8.31388e-01
416 7.94183e-01 8.20729e-01
417 7.91286e-01 8.09783e-01
418 7.88576e-01 8.16480e-01
419 7.96740e-01 8.23283e-01
420 7.89199e-01 8.22651e-01
421 7.96560e-01 8.24122e-01
422 8.15608e-01 8.22580e-01
423 7.92520e-01 8.33744e-01
424 8.01299e-01 8.18761e-01
425 7.95688e-01 8.12428e-01
426 8.03810e-01 8.27977e-01
427 8.17221e-01 8.29433e-01
428 8.02383e-01 8.27895e-01
429 7.99790e-01 8.12834e-01
430 7.94080e-01 8.36106e-01
431 7.92226e-01 8.13689e-01
432 7.97123e-01 8.17074e-01
433 7.84979e-01 8.22959e-01
434 7.83138e-01 8.19299e-01
435 7.96666e-01 8.39319e-01
436 7.98780e-01 8.27280e-01
437 7.87120e-01 8.19918e-01
438 8.01338e-01 8.23364e-01
439 7.88673e-01 8.24125e-01
440 7.93968e-01 8.26111e-01
441 8.11018e-01 8.27893e-01
442 7.90557e-01 8.51773e-01
443 8.03494e-01 8.25359e-01
444 7.94478e-01 8.24029e-01
445 7.80083e-01 8.17372e-01
446 7.84000e-01 8.42504e-01
447 7.86580e-01 8.30906e-01
448 7.92519e-01 8.28263e-01
449 7.93868e-01 8.08258e-01
450 7.94218e-01 8.30653e-01
451 8.03921e-01 8.17020e-01
452 7.89544e-01 8.28555e-01
453 7.88281e-01 8.00747e-01
454 7.83860e-01 8.20508e-01
455 8.01176e-01 8.16141e-01
456 7.88204e-01 8.53382e-01
457 7.91489e-01 8.21959e-01
458 7.90972e-01 8.22970e-01
459 7.94118e-01 8.39116e-01
460 8.01223e-01 8.15186e-01
461 7.91532e-01 8.17489e-01
462 7.83015e-01 8.10690e-01
463 7.94235e-01 8.23210e-01
464 7.87079e-01 8.45814e-01
465 8.05795e-01 8.36249e-01
466 7.94914e-01 8.36245e-01
467 8.02131e-01 8.27740e-01
468 7.89188e-01 8.30113e-01
469 7.80700e-01 8.26229e-01
470 7.95609e-01 8.07858e-01
471 7.92188e-01 8.26090e-01
472 7.90658e-01 8.22444e-01
473 7.98527e-01 8.22411e-01
474 7.82207e-01 8.45687e-01
475 7.80213e-01 8.28863e-01
476 8.00983e-01 8.17006e-01
477 7.86469e-01 8.13918e-01
478 7.87592e-01 8.18742e-01
479 7.85696e-01 8.11501e-01
480 7.76278e-01 8.30959e-01
481 7.91827e-01 8.22033e-01
482 8.14677e-01 8.13326e-01
483 7.84801e-01 8.17185e-01
484 7.88621e-01 8.09393e-01
485 7.87118e-01 8.22888e-01
486 7.88956e-01 8.31970e-01
487 8.08734e-01 8.23070e-01
488 8.03721e-01 8.31437e-01
489 7.92480e-01 8.33965e-01
490 7.92162e-01 8.24857e-01
491 7.75979e-01 8.12543e-01
492 7.99113e-01 8.25917e-01
493 7.89086e-01 8.31994e-01
494 7.73649e-01 8.21504e-01
495 7.76619e-01 8.28412e-01
496 7.84126e-01 8.05826e-01
497 7.88828e-01 8.23045e-01
498 7.84612e-01 8.32951e-01
499 7.77688e-01 8.16260e-01
500 7.82200e-01 8.21974e-01
501 8.02962e-01 8.21722e-01
502 7.96682e-01 8.15520e-01
503 7.87476e-01 8.39256e-01
504 7.93348e-01 8.12558e-01
505 7.65297e-01 8.31286e-01
506 7.86174e-01 8.51760e-01
507 7.95468e-01 8.25048e-01
508 7.95618e-01 8.24933e-01
509 7.85459e-01 8.35426e-01
510 7.71976e-01 8.33984e-01
511 7.93356e-01 8.31823e-01
512 7.86578e-01 8.24074e-01
513 7.88459e-01 8.18846e-01
514 7.81089e-01 8.22112e-01
515 7.93235e-01 8.22256e-01
516 7.75477e-01 8.24625e-01
517 7.76491e-01 8.37236e-01
518 7.86149e-01 8.19237e-01
519 7.86196e-01 8.21201e-01
520 7.83082e-01 8.06072e-01
521 7.62049e-01 8.29384e-01
522 7.79821e-01 8.11300e-01
523 7.67320e-01 8.38438e-01
524 7.76342e-01 8.29544e-01
525 7.71212e-01 8.32969e-01
526 7.91452e-01 8.43980e-01
527 7.84661e-01 8.20490e-01
528 7.86366e-01 8.39760e-01
529 7.64948e-01 8.29325e-01
530 7.99371e-01 8.25690e-01
531 7.75266e-01 8.24302e-01
532 7.81634e-01 8.27874e-01
533 7.84187e-01 8.30590e-01
534 7.77636e-01 8.41593e-01
535 7.65637e-01 8.19120e-01
536 7.65541e-01 8.41007e-01
537 7.86975e-01 8.32467e-01
538 7.88841e-01 8.34980e-01
539 7.71830e-01 8.39896e-01
540 7.83062e-01 8.41847e-01
541 7.89556e-01 8.40305e-01
542 7.88571e-01 8.32455e-01
543 7.87018e-01 8.31940e-01
544 7.74770e-01 8.37199e-01
545 7.74738e-01 8.54317e-01
546 7.79940e-01 8.45127e-01
547 7.72581e-01 8.44361e-01
548 7.84067e-01 8.36307e-01
549 7.83516e-01 8.26333e-01
550 7.75467e-01 8.38983e-01
551 7.88543e-01 8.24242e-01
552 7.75121e-01 8.30422e-01
553 7.82714e-01 8.34056e-01
554 7.70911e-01 8.26277e-01
555 7.86780e-01 8.16148e-01
556 7.85046e-01 8.01451e-01
557 7.80311e-01 8.10026e-01
558 7.89636e-01 8.27158e-01
559 7.96098e-01 8.39623e-01
560 7.67629e-01 8.17666e-01
561 7.75306e-01 8.23471e-01
562 7.85210e-01 8.43114e-01
563 7.76683e-01 8.18711e-01
564 7.74254e-01 8.55583e-01
565 7.80115e-01 8.53043e-01
566 7.98584e-01 8.35949e-01
567 7.77799e-01 8.12019e-01
568 7.75319e-01 8.54119e-01
569 7.59463e-01 8.36292e-01
570 7.82402e-01 8.32242e-01
571 7.79076e-01 8.48975e-01
572 7.88788e-01 8.28327e-01
573 7.70205e-01 8.18721e-01
574 7.66681e-01 8.30883e-01
575 7.70048e-01 8.29112e-01
576 7.68934e-01 8.44237e-01
577 7.86156e-01 8.35570e-01
578 7.72733e-01 8.38763e-01
579 8.03108e-01 8.34096e-01
580 7.71550e-01 8.33725e-01
581 7.72643e-01 8.26205e-01
582 7.79556e-01 8.49576e-01
583 7.86108e-01 8.27768e-01
584 7.73072e-01 8.36721e-01
585 7.69478e-01 8.28083e-01
586 7.77132e-01 8.47084e-01
587 7.71396e-01 8.29593e-01
588 7.71988e-01 8.19968e-01
589 7.82497e-01 8.25694e-01
590 7.77961e-01 8.35149e-01
591 7.90239e-01 8.31737e-01
592 7.96502e-01 8.30647e-01
593 7.79154e-01 8.21077e-01
594 7.78817e-01 8.29017e-01
595 7.82137e-01 8.22241e-01
596 7.78842e-01 8.01479e-01
597 7.73827e-01 8.38746e-01
598 7.86977e-01 8.14889e-01
599 7.86193e-01 8.14515e-01
600 7.71784e-01 8.33739e-01
601 7.83202e-01 8.05132e-01
602 7.75960e-01 8.19063e-01
603 7.65791e-01 8.19541e-01
604 7.81898e-01 8.08024e-01
605 7.80710e-01 8.01757e-01
606 7.88380e-01 8.23307e-01
607 7.72933e-01 8.14427e-01
608 7.74067e-01 8.28705e-01
609 7.67229e-01 8.24014e-01
610 7.81448e-01 8.25057e-01
611 7.84943e-01 8.26553e-01
612 7.62025e-01 8.42877e-01
613 7.86359e-01 8.23130e-01
614 7.77305e-01 8.16879e-01
615 7.67673e-01 8.16056e-01
616 7.80611e-01 8.15774e-01
617 7.63893e-01 8.02387e-01
618 7.70997e-01 8.09982e-01
619 7.67551e-01 8.11775e-01
620 7.63096e-01 8.35948e-01
621 7.60822e-01 8.28134e-01
622 7.63762e-01 8.24109e-01
623 7.77260e-01 8.13041e-01
624 7.65274e-01 8.10477e-01
625 7.60585e-01 8.16946e-01
626 7.70236e-01 8.44905e-01
