training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.13346e+00 9.68922e-01
1 9.74343e-01 9.18975e-01
2 9.56188e-01 9.88325e-01
3 9.47307e-01 9.68643e-01
4 9.36441e-01 9.12321e-01
5 9.47362e-01 9.03057e-01
6 9.36285e-01 8.99016e-01
7 9.28697e-01 8.95509e-01
8 9.28286e-01 8.98229e-01
9 9.37307e-01 8.92554e-01
10 9.18725e-01 9.58192e-01
11 9.21412e-01 9.26813e-01
12 9.05097e-01 8.84761e-01
13 9.14752e-01 9.11913e-01
14 9.23795e-01 9.03236e-01
15 9.13154e-01 8.90877e-01
16 9.02796e-01 8.69824e-01
17 9.01074e-01 8.70865e-01
18 8.95939e-01 8.81338e-01
19 9.00646e-01 8.69806e-01
20 8.99797e-01 8.60496e-01
21 8.92349e-01 8.73313e-01
22 8.99413e-01 8.80263e-01
23 8.94344e-01 8.82784e-01
24 9.05378e-01 8.89911e-01
25 9.00352e-01 8.72092e-01
26 8.94242e-01 8.93885e-01
27 8.93676e-01 8.64013e-01
28 8.93576e-01 8.67857e-01
29 8.95183e-01 8.63032e-01
30 9.00882e-01 8.79266e-01
31 8.85645e-01 8.63117e-01
32 8.79847e-01 8.94020e-01
33 8.93974e-01 8.66180e-01
34 8.79637e-01 8.66396e-01
35 8.82044e-01 8.77521e-01
36 8.71769e-01 8.62553e-01
37 8.82402e-01 8.87318e-01
38 8.78197e-01 8.71004e-01
39 8.77160e-01 8.71560e-01
40 8.80469e-01 8.57896e-01
41 8.77588e-01 8.50966e-01
42 8.78003e-01 8.60167e-01
43 8.62850e-01 8.58400e-01
44 8.71074e-01 8.49919e-01
45 8.73846e-01 8.79511e-01
46 8.78279e-01 8.58189e-01
47 8.71942e-01 8.62055e-01
48 8.68539e-01 8.66978e-01
49 8.72055e-01 8.53187e-01
50 8.71203e-01 8.59958e-01
51 8.70967e-01 8.66508e-01
52 8.68950e-01 8.48846e-01
53 8.72752e-01 8.61558e-01
54 8.68738e-01 8.49726e-01
55 8.69953e-01 8.64945e-01
56 8.68591e-01 8.52668e-01
57 8.73163e-01 8.55105e-01
58 8.77707e-01 8.73245e-01
59 8.58803e-01 8.85981e-01
60 8.64387e-01 8.68107e-01
61 8.50452e-01 8.61328e-01
62 8.74927e-01 9.06366e-01
63 8.55453e-01 8.51076e-01
64 8.56379e-01 8.37344e-01
65 8.58228e-01 8.51000e-01
66 8.59433e-01 8.83831e-01
67 8.59395e-01 8.52323e-01
68 8.65855e-01 8.73428e-01
69 8.54202e-01 8.65614e-01
70 8.45276e-01 8.62505e-01
71 8.59274e-01 8.55516e-01
72 8.55821e-01 8.59811e-01
73 8.60644e-01 8.52161e-01
74 8.53322e-01 8.57992e-01
75 8.55738e-01 8.51998e-01
76 8.51501e-01 8.47331e-01
77 8.57484e-01 8.49464e-01
78 8.53398e-01 8.52174e-01
79 8.54126e-01 8.36981e-01
80 8.45986e-01 8.99813e-01
