training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.38015e+00 1.35992e+00
1 1.31208e+00 1.22101e+00
2 1.20257e+00 1.11128e+00
3 1.12874e+00 1.04215e+00
4 1.08465e+00 1.00578e+00
5 1.06010e+00 9.77529e-01
6 1.04393e+00 9.61087e-01
7 1.03114e+00 9.41639e-01
8 1.02506e+00 9.37162e-01
9 1.00842e+00 9.30232e-01
10 1.01237e+00 9.23574e-01
11 9.99170e-01 9.23305e-01
12 9.82436e-01 9.21600e-01
13 9.93353e-01 9.16298e-01
14 9.76779e-01 9.15106e-01
15 9.86789e-01 9.12688e-01
16 9.79672e-01 9.13650e-01
17 9.74977e-01 9.08958e-01
18 9.59633e-01 9.06481e-01
19 9.74462e-01 9.07940e-01
20 9.69304e-01 9.07770e-01
21 9.67458e-01 9.02972e-01
22 9.60277e-01 9.02054e-01
23 9.69607e-01 9.04938e-01
24 9.64632e-01 9.05365e-01
25 9.68754e-01 9.05199e-01
26 9.71415e-01 9.05400e-01
27 9.48476e-01 9.00623e-01
28 9.67919e-01 9.00311e-01
29 9.57230e-01 8.99881e-01
30 9.58321e-01 8.99277e-01
31 9.46659e-01 8.96348e-01
32 9.59079e-01 8.97634e-01
33 9.49129e-01 8.96557e-01
34 9.59777e-01 8.94486e-01
35 9.44214e-01 8.96894e-01
36 9.52128e-01 8.94641e-01
37 9.46311e-01 8.94100e-01
38 9.49026e-01 8.95816e-01
39 9.61423e-01 8.94609e-01
40 9.45171e-01 8.94583e-01
41 9.39697e-01 8.94435e-01
42 9.44552e-01 8.91394e-01
43 9.49934e-01 8.90892e-01
44 9.49245e-01 8.89786e-01
45 9.47591e-01 8.91669e-01
46 9.36140e-01 8.91713e-01
47 9.37817e-01 8.90582e-01
48 9.37750e-01 8.90260e-01
49 9.38105e-01 8.88031e-01
50 9.43330e-01 8.88217e-01
51 9.48395e-01 8.92934e-01
52 9.48128e-01 8.91063e-01
53 9.38700e-01 8.89899e-01
54 9.41957e-01 8.90868e-01
55 9.38155e-01 8.88591e-01
56 9.31621e-01 8.89152e-01
57 9.48759e-01 8.86569e-01
58 9.27279e-01 8.86324e-01
59 9.32655e-01 8.86820e-01
60 9.30045e-01 8.84292e-01
61 9.41197e-01 8.85024e-01
62 9.31164e-01 8.84154e-01
63 9.33163e-01 8.81060e-01
64 9.36298e-01 8.80330e-01
65 9.35833e-01 8.84172e-01
66 9.41327e-01 8.83060e-01
67 9.41127e-01 8.82518e-01
68 9.46099e-01 8.82302e-01
69 9.26451e-01 8.79194e-01
70 9.18651e-01 8.81740e-01
71 9.23908e-01 8.80577e-01
72 9.25758e-01 8.81705e-01
73 9.27819e-01 8.81606e-01
74 9.17616e-01 8.78762e-01
75 9.19580e-01 8.77056e-01
76 9.28338e-01 8.79208e-01
77 9.30143e-01 8.78670e-01
78 9.22768e-01 8.78854e-01
79 9.22213e-01 8.80945e-01
80 9.26579e-01 8.82531e-01
