training dataset: fesc_test
seed = 5
umFeatures = 7
Feature List: SFRs, Mstars, masses, redshifts, fgases, min_dist, t_lookback
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.45024e+00 1.33930e+00
1 1.40918e+00 1.32845e+00
2 1.40943e+00 1.32068e+00
3 1.39340e+00 1.31627e+00
4 1.37210e+00 1.31375e+00
5 1.36137e+00 1.31245e+00
6 1.37226e+00 1.31209e+00
7 1.34745e+00 1.31161e+00
8 1.34224e+00 1.31101e+00
9 1.35372e+00 1.31128e+00
10 1.33808e+00 1.31098e+00
11 1.35557e+00 1.31037e+00
12 1.34370e+00 1.30992e+00
13 1.35637e+00 1.30919e+00
14 1.34095e+00 1.30902e+00
15 1.34393e+00 1.30822e+00
16 1.34987e+00 1.30706e+00
17 1.32934e+00 1.30635e+00
18 1.32955e+00 1.30516e+00
19 1.34081e+00 1.30498e+00
20 1.31897e+00 1.30389e+00
21 1.32945e+00 1.30308e+00
22 1.32579e+00 1.30147e+00
23 1.32775e+00 1.30124e+00
24 1.32954e+00 1.30073e+00
25 1.32792e+00 1.29946e+00
26 1.32677e+00 1.29857e+00
27 1.31834e+00 1.29794e+00
28 1.31209e+00 1.29764e+00
29 1.33108e+00 1.29653e+00
30 1.32350e+00 1.29625e+00
31 1.32214e+00 1.29576e+00
32 1.31251e+00 1.29499e+00
33 1.31903e+00 1.29412e+00
34 1.30351e+00 1.29304e+00
35 1.31392e+00 1.29279e+00
36 1.30741e+00 1.29173e+00
37 1.31374e+00 1.29099e+00
38 1.30865e+00 1.29069e+00
39 1.31868e+00 1.28956e+00
40 1.31075e+00 1.28907e+00
41 1.30695e+00 1.28845e+00
42 1.29993e+00 1.28718e+00
43 1.30200e+00 1.28648e+00
44 1.31398e+00 1.28557e+00
45 1.29226e+00 1.28490e+00
46 1.30248e+00 1.28459e+00
47 1.30742e+00 1.28381e+00
48 1.30543e+00 1.28394e+00
49 1.29794e+00 1.28328e+00
50 1.30029e+00 1.28222e+00
51 1.29440e+00 1.28196e+00
52 1.30666e+00 1.28143e+00
53 1.30183e+00 1.28093e+00
54 1.28873e+00 1.28022e+00
55 1.29738e+00 1.27961e+00
56 1.30253e+00 1.27965e+00
57 1.29859e+00 1.27927e+00
58 1.29641e+00 1.27811e+00
59 1.29656e+00 1.27727e+00
60 1.28330e+00 1.27670e+00
61 1.28424e+00 1.27520e+00
62 1.29615e+00 1.27473e+00
63 1.28895e+00 1.27459e+00
64 1.28483e+00 1.27371e+00
65 1.28903e+00 1.27303e+00
66 1.27805e+00 1.27257e+00
67 1.28512e+00 1.27176e+00
68 1.26727e+00 1.27062e+00
69 1.28596e+00 1.27035e+00
70 1.28685e+00 1.26985e+00
71 1.28280e+00 1.26945e+00
72 1.28662e+00 1.26924e+00
73 1.29788e+00 1.26885e+00
74 1.27532e+00 1.26740e+00
75 1.27228e+00 1.26663e+00
76 1.27469e+00 1.26614e+00
77 1.27033e+00 1.26549e+00
78 1.27324e+00 1.26463e+00
79 1.27768e+00 1.26358e+00
80 1.26931e+00 1.26268e+00
81 1.28899e+00 1.26200e+00
82 1.26369e+00 1.26159e+00
83 1.27825e+00 1.26032e+00
84 1.27114e+00 1.26079e+00
85 1.26000e+00 1.25999e+00
86 1.27034e+00 1.25937e+00
87 1.27846e+00 1.25863e+00
88 1.28342e+00 1.25780e+00
89 1.26173e+00 1.25714e+00
90 1.25747e+00 1.25699e+00
91 1.27406e+00 1.25667e+00
92 1.26893e+00 1.25595e+00
93 1.28464e+00 1.25561e+00
94 1.26029e+00 1.25468e+00
95 1.26005e+00 1.25421e+00
96 1.26794e+00 1.25385e+00
97 1.26849e+00 1.25250e+00
98 1.26506e+00 1.25197e+00
99 1.26006e+00 1.25086e+00
100 1.27134e+00 1.25066e+00
101 1.26859e+00 1.25112e+00
102 1.25982e+00 1.25017e+00
103 1.25737e+00 1.24964e+00
104 1.26897e+00 1.24855e+00
105 1.24087e+00 1.24821e+00
106 1.25442e+00 1.24755e+00
107 1.26952e+00 1.24686e+00
108 1.24887e+00 1.24621e+00
109 1.26585e+00 1.24557e+00
110 1.25870e+00 1.24485e+00
111 1.26270e+00 1.24439e+00
112 1.25793e+00 1.24369e+00
113 1.24982e+00 1.24330e+00
114 1.25137e+00 1.24220e+00
115 1.25199e+00 1.24174e+00
116 1.24485e+00 1.24106e+00
117 1.25787e+00 1.24059e+00
118 1.24796e+00 1.24039e+00
119 1.24079e+00 1.23908e+00
120 1.25358e+00 1.23779e+00
121 1.25313e+00 1.23739e+00
122 1.25390e+00 1.23699e+00
123 1.24494e+00 1.23603e+00
124 1.24254e+00 1.23535e+00
125 1.24425e+00 1.23505e+00
126 1.25239e+00 1.23426e+00
127 1.24569e+00 1.23379e+00
128 1.24282e+00 1.23343e+00
129 1.23676e+00 1.23275e+00
130 1.23676e+00 1.23251e+00
131 1.24945e+00 1.23240e+00
132 1.25891e+00 1.23230e+00
133 1.25376e+00 1.23157e+00
134 1.25010e+00 1.23077e+00
135 1.25096e+00 1.23019e+00
136 1.23819e+00 1.23013e+00
137 1.24232e+00 1.22952e+00
138 1.24981e+00 1.22888e+00
139 1.24048e+00 1.22801e+00
140 1.23159e+00 1.22745e+00
141 1.24533e+00 1.22685e+00
142 1.23618e+00 1.22601e+00
143 1.23878e+00 1.22501e+00
144 1.23591e+00 1.22465e+00
