training dataset: fesc_test
seed = 5
umFeatures = 7
Feature List: SFRs, Mstars, masses, redshifts, fgases, min_dist, t_lookback
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.39753e+00 1.35619e+00
1 1.33757e+00 1.32341e+00
2 1.31143e+00 1.31678e+00
3 1.29923e+00 1.31813e+00
4 1.28617e+00 1.26389e+00
5 1.25510e+00 1.23487e+00
6 1.24786e+00 1.24626e+00
7 1.24833e+00 1.20554e+00
8 1.21526e+00 1.18296e+00
9 1.21583e+00 1.19373e+00
10 1.21050e+00 1.17875e+00
11 1.22325e+00 1.16568e+00
12 1.19116e+00 1.16317e+00
13 1.16915e+00 1.14472e+00
14 1.18338e+00 1.14597e+00
15 1.18587e+00 1.14580e+00
16 1.17094e+00 1.12757e+00
17 1.18937e+00 1.15448e+00
18 1.17292e+00 1.14003e+00
19 1.16581e+00 1.14961e+00
20 1.16161e+00 1.12504e+00
21 1.16246e+00 1.12118e+00
22 1.15191e+00 1.15190e+00
23 1.15188e+00 1.11558e+00
24 1.14360e+00 1.12988e+00
25 1.15042e+00 1.13252e+00
26 1.14001e+00 1.12040e+00
27 1.14877e+00 1.12891e+00
28 1.14499e+00 1.10351e+00
29 1.14743e+00 1.11298e+00
30 1.12712e+00 1.09286e+00
31 1.12972e+00 1.11823e+00
32 1.12941e+00 1.10515e+00
33 1.12542e+00 1.08512e+00
34 1.13034e+00 1.11071e+00
35 1.13193e+00 1.08659e+00
36 1.14732e+00 1.09480e+00
37 1.10641e+00 1.08639e+00
38 1.13239e+00 1.13038e+00
39 1.11957e+00 1.09375e+00
40 1.12233e+00 1.08405e+00
41 1.12386e+00 1.07831e+00
42 1.13012e+00 1.09335e+00
43 1.11274e+00 1.08447e+00
44 1.11035e+00 1.08137e+00
45 1.12956e+00 1.07882e+00
46 1.09618e+00 1.07245e+00
47 1.10493e+00 1.06836e+00
48 1.11423e+00 1.06969e+00
49 1.09917e+00 1.09919e+00
50 1.10771e+00 1.07433e+00
51 1.10660e+00 1.06536e+00
52 1.10253e+00 1.05633e+00
53 1.09118e+00 1.05334e+00
54 1.09731e+00 1.05384e+00
55 1.10836e+00 1.05755e+00
56 1.08927e+00 1.05308e+00
57 1.09307e+00 1.05678e+00
58 1.09304e+00 1.05605e+00
59 1.08697e+00 1.05291e+00
60 1.09669e+00 1.08768e+00
61 1.10227e+00 1.05329e+00
62 1.08324e+00 1.04943e+00
63 1.07398e+00 1.06221e+00
64 1.08641e+00 1.04029e+00
65 1.08845e+00 1.04747e+00
66 1.08000e+00 1.05334e+00
67 1.06741e+00 1.05571e+00
68 1.08609e+00 1.03831e+00
69 1.08754e+00 1.03927e+00
70 1.09426e+00 1.06814e+00
71 1.08086e+00 1.03777e+00
72 1.07396e+00 1.03746e+00
73 1.07853e+00 1.05202e+00
74 1.08759e+00 1.04028e+00
75 1.08701e+00 1.04941e+00
76 1.07420e+00 1.04086e+00
77 1.08684e+00 1.06561e+00
78 1.07806e+00 1.03794e+00
79 1.06198e+00 1.03832e+00
80 1.08186e+00 1.03071e+00
81 1.06868e+00 1.03418e+00
82 1.07957e+00 1.03394e+00
83 1.07379e+00 1.04587e+00
84 1.06194e+00 1.03023e+00
85 1.06464e+00 1.03672e+00
86 1.06544e+00 1.03235e+00
87 1.07951e+00 1.02683e+00
88 1.05493e+00 1.03683e+00
89 1.07776e+00 1.04817e+00
90 1.06840e+00 1.04587e+00
91 1.07326e+00 1.02979e+00
92 1.06404e+00 1.05347e+00
93 1.08258e+00 1.04635e+00
94 1.06987e+00 1.03016e+00
95 1.04795e+00 1.03002e+00
96 1.05066e+00 1.02552e+00
97 1.04968e+00 1.02094e+00
98 1.05639e+00 1.03443e+00
99 1.06141e+00 1.02614e+00
100 1.04988e+00 1.02141e+00
101 1.03484e+00 1.02831e+00
102 1.05264e+00 1.01760e+00
103 1.06687e+00 1.03367e+00
104 1.04180e+00 1.04343e+00
105 1.06391e+00 1.02099e+00
106 1.06321e+00 1.03483e+00
107 1.05848e+00 1.02984e+00
108 1.05586e+00 1.02664e+00
109 1.05216e+00 1.02744e+00
110 1.06270e+00 1.02473e+00
111 1.05317e+00 1.02128e+00
112 1.05094e+00 1.03634e+00
113 1.04949e+00 1.01710e+00
114 1.06101e+00 1.01568e+00
115 1.03917e+00 1.01251e+00
116 1.04373e+00 1.01340e+00
117 1.04947e+00 1.02453e+00
118 1.05495e+00 1.01159e+00
119 1.05325e+00 1.02248e+00
120 1.04316e+00 1.01368e+00
121 1.04386e+00 1.01475e+00
122 1.04175e+00 1.01604e+00
123 1.06603e+00 1.01438e+00
124 1.03866e+00 1.02593e+00
125 1.05527e+00 1.01522e+00
126 1.05309e+00 1.02576e+00
127 1.04307e+00 1.01446e+00
128 1.04962e+00 1.00862e+00
129 1.04392e+00 1.01608e+00
130 1.03545e+00 1.03169e+00
131 1.04016e+00 1.01177e+00
132 1.02444e+00 1.02223e+00
133 1.04235e+00 1.01461e+00
134 1.04073e+00 1.00331e+00
135 1.03978e+00 1.01147e+00
136 1.03390e+00 1.00794e+00
137 1.02935e+00 1.01174e+00
138 1.02983e+00 1.01547e+00
139 1.03248e+00 1.00634e+00
140 1.05388e+00 1.00297e+00
141 1.05466e+00 1.00695e+00
142 1.03795e+00 1.00980e+00
143 1.04874e+00 1.01507e+00
144 1.05445e+00 1.02487e+00
