training dataset: fesc_test
seed = 5
umFeatures = 7
Feature List: SFRs, Mstars, masses, redshifts, fgases, min_dist, t_lookback
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.67028e+00 1.26450e+00
1 1.49407e+00 1.21235e+00
2 1.41774e+00 1.25242e+00
3 1.35615e+00 1.19571e+00
4 1.31311e+00 1.17249e+00
5 1.22716e+00 1.16430e+00
6 1.25433e+00 1.16000e+00
7 1.25548e+00 1.18631e+00
8 1.24026e+00 1.20914e+00
9 1.21714e+00 1.17015e+00
10 1.20940e+00 1.14957e+00
11 1.19924e+00 1.16620e+00
12 1.18637e+00 1.14819e+00
13 1.20966e+00 1.15393e+00
14 1.18800e+00 1.16216e+00
15 1.17586e+00 1.15068e+00
16 1.17783e+00 1.14504e+00
17 1.17432e+00 1.14604e+00
18 1.17518e+00 1.14342e+00
19 1.16874e+00 1.16246e+00
20 1.16393e+00 1.15135e+00
21 1.15467e+00 1.15272e+00
22 1.15419e+00 1.14177e+00
23 1.16373e+00 1.15842e+00
24 1.15496e+00 1.13731e+00
25 1.15441e+00 1.14143e+00
26 1.13869e+00 1.13514e+00
27 1.13795e+00 1.13804e+00
28 1.15139e+00 1.13182e+00
29 1.13318e+00 1.12954e+00
30 1.13123e+00 1.12193e+00
31 1.13162e+00 1.13083e+00
32 1.13266e+00 1.13196e+00
33 1.14084e+00 1.12529e+00
34 1.12474e+00 1.12443e+00
35 1.11968e+00 1.12839e+00
36 1.11861e+00 1.12206e+00
37 1.10710e+00 1.12256e+00
38 1.13031e+00 1.12397e+00
39 1.13695e+00 1.11617e+00
40 1.11697e+00 1.12994e+00
41 1.12994e+00 1.11776e+00
42 1.11939e+00 1.12195e+00
43 1.11067e+00 1.11908e+00
44 1.10619e+00 1.11311e+00
45 1.09722e+00 1.10763e+00
46 1.10505e+00 1.11560e+00
47 1.10419e+00 1.10716e+00
48 1.11900e+00 1.10623e+00
49 1.12202e+00 1.10182e+00
50 1.09174e+00 1.11237e+00
51 1.10694e+00 1.10581e+00
52 1.10472e+00 1.09494e+00
53 1.10356e+00 1.10092e+00
54 1.09026e+00 1.09384e+00
55 1.10019e+00 1.09725e+00
56 1.09912e+00 1.09690e+00
57 1.10981e+00 1.10141e+00
58 1.09678e+00 1.09642e+00
59 1.08874e+00 1.09222e+00
60 1.08766e+00 1.09004e+00
61 1.09115e+00 1.09109e+00
62 1.09797e+00 1.09051e+00
63 1.10717e+00 1.08807e+00
64 1.10028e+00 1.10421e+00
65 1.09558e+00 1.08220e+00
66 1.08574e+00 1.08757e+00
67 1.08884e+00 1.08099e+00
68 1.09075e+00 1.08487e+00
69 1.09611e+00 1.08423e+00
70 1.08665e+00 1.08818e+00
71 1.10037e+00 1.09122e+00
72 1.08629e+00 1.08351e+00
73 1.09482e+00 1.08451e+00
74 1.08752e+00 1.08589e+00
75 1.09985e+00 1.08180e+00
76 1.10310e+00 1.09874e+00
77 1.09454e+00 1.08239e+00
78 1.08621e+00 1.08130e+00
79 1.07863e+00 1.08084e+00
80 1.09577e+00 1.07357e+00
81 1.09254e+00 1.08281e+00
82 1.07726e+00 1.08285e+00
83 1.09136e+00 1.08480e+00
84 1.08430e+00 1.07874e+00
85 1.07249e+00 1.07531e+00
86 1.07549e+00 1.07479e+00
87 1.07943e+00 1.08161e+00
88 1.08021e+00 1.07680e+00
89 1.07794e+00 1.06681e+00
90 1.08706e+00 1.06710e+00
91 1.08036e+00 1.08195e+00
92 1.07444e+00 1.06898e+00
93 1.07276e+00 1.07378e+00
94 1.07771e+00 1.06663e+00
95 1.06882e+00 1.06582e+00
96 1.07979e+00 1.06677e+00
97 1.07568e+00 1.06336e+00
98 1.08021e+00 1.06482e+00
99 1.08381e+00 1.06504e+00
100 1.07252e+00 1.06632e+00
101 1.07019e+00 1.06456e+00
102 1.07789e+00 1.06683e+00
103 1.06621e+00 1.06458e+00
104 1.07094e+00 1.06015e+00
105 1.07765e+00 1.05763e+00
106 1.07227e+00 1.06019e+00
107 1.06328e+00 1.05467e+00
108 1.06836e+00 1.05771e+00
109 1.06405e+00 1.05841e+00
110 1.06721e+00 1.05771e+00
111 1.06428e+00 1.05443e+00
112 1.06728e+00 1.05915e+00
113 1.06074e+00 1.05672e+00
114 1.06419e+00 1.05342e+00
115 1.06246e+00 1.05385e+00
116 1.06274e+00 1.05837e+00
117 1.04857e+00 1.05011e+00
118 1.06198e+00 1.06037e+00
119 1.06448e+00 1.05343e+00
120 1.06150e+00 1.06186e+00
121 1.06867e+00 1.05853e+00
122 1.06418e+00 1.04964e+00
123 1.06840e+00 1.05509e+00
124 1.07324e+00 1.05536e+00
125 1.06693e+00 1.05730e+00
126 1.06058e+00 1.05235e+00
127 1.05868e+00 1.05180e+00
128 1.06375e+00 1.05377e+00
129 1.05741e+00 1.05200e+00
130 1.06094e+00 1.04627e+00
131 1.06650e+00 1.05186e+00
132 1.05635e+00 1.05205e+00
133 1.06400e+00 1.05204e+00
134 1.04305e+00 1.04911e+00
135 1.04997e+00 1.04745e+00
136 1.04116e+00 1.04715e+00
137 1.07410e+00 1.04591e+00
138 1.06834e+00 1.04718e+00
139 1.05372e+00 1.05085e+00
140 1.06005e+00 1.05235e+00
141 1.05804e+00 1.04720e+00
142 1.05084e+00 1.04670e+00
143 1.04788e+00 1.04427e+00
144 1.05790e+00 1.04859e+00
